"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0.0024,-1.497756223627255e-14,-4.821985105507181e-11,-1.497756223627255e-14,-4.821985105507181e-11
0.0025,-1.396345143607904e-14,-4.820170032757112e-11,-1.396345143607904e-14,-4.820170032757112e-11
0.0026,-1.305837531253149e-14,-4.816989230585389e-11,-1.305837531253149e-14,-4.816989230585389e-11
0.0027,-1.225330095324596e-14,-4.812528686715101e-11,-1.225330095324596e-14,-4.812528686715101e-11
0.0028,-1.154008031774394e-14,-4.806871049961388e-11,-1.154008031774394e-14,-4.806871049961388e-11
0.0029,-1.091148851211499e-14,-4.800096238888313e-11,-1.091148851211499e-14,-4.800096238888313e-11
0.003,-1.036093145873499e-14,-4.792279638209034e-11,-1.036093145873499e-14,-4.792279638209034e-11
0.0031,-9.882523904744036e-15,-4.783492778683995e-11,-9.882523904744036e-15,-4.783492778683995e-11
0.0032,-9.47094628060608e-15,-4.773803836960948e-11,-9.47094628060608e-15,-4.773803836960948e-11
0.0033,-9.121489597313343e-15,-4.763277133729703e-11,-9.121489597313343e-15,-4.763277133729703e-11
0.0034,-8.829871150089719e-15,-4.751973636394424e-11,-8.829871150089719e-15,-4.751973636394424e-11
0.0035,-8.592288816684147e-15,-4.739951438293342e-11,-8.592288816684147e-15,-4.739951438293342e-11
0.0036,-8.405308426340327e-15,-4.72726521919002e-11,-8.405308426340327e-15,-4.72726521919002e-11
0.0037,-8.265886593219246e-15,-4.713967083940166e-11,-8.265886593219246e-15,-4.713967083940166e-11
0.0038,-8.171275329901519e-15,-4.700106037741306e-11,-8.171275329901519e-15,-4.700106037741306e-11
0.0039,-8.119044614673754e-15,-4.685728157919927e-11,-8.119044614673754e-15,-4.685728157919927e-11
0.004,-8.10700961135602e-15,-4.670876986034363e-11,-8.10700961135602e-15,-4.670876986034363e-11
0.0041,-8.133245065230069e-15,-4.655593388026752e-11,-8.133245065230069e-15,-4.655593388026752e-11
