"time","ca_cyto.c.c","ca_nsr.c.c"
0.0118,1.146789389991908e-05,1.072233573082389
0.0119,1.122865007513115e-05,1.072242854092836
0.012,1.099430755779348e-05,1.072251944966355
0.0121,1.076476958204162e-05,1.072260849456796
0.0122,1.053994114896861e-05,1.07226957124946
0.0123,1.031972899135706e-05,1.072278113962473
0.0124,1.010404155318102e-05,1.072286481147577
0.0125,9.89278896757096e-06,1.072294676290985
0.0126,9.685883034418101e-06,1.072302702814256
0.0127,9.483237171211195e-06,1.072310564076192
0.0128,9.284766406426068e-06,1.072318263373104
0.0129,9.090387364227643e-06,1.072325803939398
0.013,8.900018225086407e-06,1.072333188949107
0.0131,8.713578686107518e-06,1.072340421517431
0.0132,8.530989960766362e-06,1.072347504700744
0.0133,8.352174778322192e-06,1.072354441496616
0.0134,8.177057287613782e-06,1.07236123484755
0.0135,8.005563083808715e-06,1.072367887639941
0.0136,7.837619187851997e-06,1.072374402704871
0.0137,7.673153999048112e-06,1.072380782819956
0.0138,7.512097274802205e-06,1.072387030710122
0.0139,7.354380137563254e-06,1.072393149047344
0.014,7.199935024683541e-06,1.072399140452586
0.0141,7.04869565740663e-06,1.072405007497007
0.0142,6.900597047899923e-06,1.072410752701688
0.0143,6.755575462731655e-06,1.072416378539045
0.0144,6.613568388404455e-06,1.072421887434171
0.0145,6.474514539927202e-06,1.072427281764501
0.0146,6.338353812154046e-06,1.0724325638617
0.0147,6.205027266710637e-06,1.07243773601217
0.0148,6.074477129943288e-06,1.072442800457133
0.0149,5.946646740588762e-06,1.072447759394652
0.015,5.821480549404471e-06,1.072452614979656
0.0151,5.698924098873197e-06,1.07245736932472
0.0152,5.57892399089025e-06,1.072462024501324
0.0153,5.461427885176989e-06,1.072466582539909
0.0154,5.3463844772863e-06,1.072471045430733
0.0155,5.233743460971004e-06,1.072475415125333
0.0156,5.123455541148485e-06,1.072479693536016
0.0157,5.01547239342828e-06,1.072483882537437
0.0158,4.909746647345224e-06,1.072487983967243
0.0159,4.806231883971461e-06,1.072491999626168
0.016,4.704882598759983e-06,1.072495931279475
0.0161,4.605654194786963e-06,1.072499780657216
0.0162,4.508502966077061e-06,1.072503549454882
0.0163,4.413386072119484e-06,1.07250723933439
0.0164,4.320261533480131e-06,1.072510851924252
0.0165,4.229088217100445e-06,1.072514388820146
0.0166,4.139825799854151e-06,1.072517851586333
0.0167,4.052434782793241e-06,1.0725212417551
0.0168,3.966876458456181e-06,1.072524560828027
0.0169,3.883112891032696e-06,1.072527810276764
0.017,3.801106922948578e-06,1.072530991542768
0.0171,3.720822136561826e-06,1.072534106038792
0.0172,3.642222850789087e-06,1.072537155149017
0.0173,3.565274105683793e-06,1.072540140229646
0.0174,3.489941643951706e-06,1.072543062609628
0.0175,3.416191905039818e-06,1.07254592359088
0.0176,3.343992017467731e-06,1.072548724448588
0.0177,3.273309761696056e-06,1.072551466432649
0.0178,3.20411358443577e-06,1.072554150767112
0.0179,3.1363725747804e-06,1.072556778651108
0.018,3.070056443455402e-06,1.072559351259651
0.0181,3.005135529203131e-06,1.072561869743394
0.0182,2.941580769565075e-06,1.07256433522976
0.0183,2.879363694690433e-06,1.072566748823182
0.0184,2.818456418037471e-06,1.072569111605467
0.0185,2.758831617885203e-06,1.072571424636508
0.0186,2.700462533299742e-06,1.072573688954445
0.0187,2.643322960276465e-06,1.072575905575812
0.0188,2.587387217865591e-06,1.072578075496855
0.0189,2.532630161188487e-06,1.072580199693019
0.019,2.479027164396744e-06,1.07258227911962
0.0191,2.42655409947904e-06,1.072584314712655
0.0192,2.375187343160947e-06,1.072586307388548
0.0193,2.324903754783717e-06,1.072588258044993
0.0194,2.275680668434934e-06,1.072590167561275
0.0195,2.22749588667966e-06,1.072592036798499
0.0196,2.18032766535909e-06,1.072593866600188
0.0197,2.134154709973494e-06,1.072595657792423
0.0198,2.088956176813907e-06,1.072597411183796
0.0199,2.044711638845638e-06,1.072599127566735
0.02,2.001401095528478e-06,1.072600807717123
0.0201,1.959004959835249e-06,1.072602452394801
0.0202,1.917504045219447e-06,1.072604062344075
0.0203,1.87687957332814e-06,1.072605638293416
0.0204,1.837113151656908e-06,1.072607180956326
0.0205,1.798186765095388e-06,1.072608691031667
0.0206,1.760082772646195e-06,1.072610169203789
0.0207,1.722783897948018e-06,1.072611616142893
0.0208,1.686273222927731e-06,1.072613032505287
0.0209,1.650534190893407e-06,1.072614418933254
0.021,1.615550577714778e-06,1.072615776056179
0.0211,1.581306502698594e-06,1.072617104490124
0.0212,1.547786418502408e-06,1.072618404838218
0.0213,1.514975096619147e-06,1.072619677691223
0.0214,1.482857624604014e-06,1.072620923627637
0.0215,1.451419399469988e-06,1.072622143213957
0.0216,1.420646121488292e-06,1.072623337004914
0.0217,1.390523801851791e-06,1.072624505543176
0.0218,1.361038730873675e-06,1.072625649360585
0.0219,1.332177487166893e-06,1.072626768977798
0.022,1.30392692681932e-06,1.072627864904708
0.0221,1.276274179215952e-06,1.072628937640607
0.0222,1.249206650630262e-06,1.072629987674044
0.0223,1.222712007899137e-06,1.07263101548346
0.0224,1.196778172659889e-06,1.072632021537414
0.0225,1.171393325051388e-06,1.072633006294433
0.0226,1.146545889290351e-06,1.072633970203579
0.0227,1.122224532035053e-06,1.072634913704507
0.0228,1.098418154501145e-06,1.072635837227774
0.0229,1.075115890282022e-06,1.072636741194921
0.023,1.052307105111801e-06,1.072637626018484
0.0231,1.02998138748228e-06,1.072638492102358
0.0232,1.008128539819101e-06,1.072639339842137
0.0233,9.867385781534917e-07,1.072640169625133
0.0234,9.658017267522919e-07,1.072640981830576
0.0235,9.453084156478432e-07,1.072641776829714
0.0236,9.252492854397697e-07,1.072642554985627
0.0237,9.056151638713883e-07,1.072643316654136
0.0238,8.863970715509056e-07,1.07264406218358
0.0239,8.675862152871879e-07,1.072644791915073
0.024,8.491739870634332e-07,1.072645506182548
0.0241,8.311519713908775e-07,1.072646205312466
0.0242,8.135119219421095e-07,1.072646889624729
0.0243,7.962457662474899e-07,1.072647559432493
0.0244,7.793455931027319e-07,1.072648215042659
0.0245,7.628036627744327e-07,1.072648856755473
0.0246,7.466124005047487e-07,1.072649484864786
0.0247,7.307643967392181e-07,1.072650099658035
0.0248,7.152523897796283e-07,1.072650701416926
0.0249,7.000692735427785e-07,1.072651290417125
0.025,6.852080918210562e-07,1.072651866928485
