"time","ca_cyto.con","ca_nsr.con"
0.004304304304304304,5.350012463771222e-05,1.070603012406862
0.004314314314314315,5.339459711320655e-05,1.070607106147038
0.004324324324324324,5.328926075903031e-05,1.070611192471123
0.004334334334334334,5.318411529039626e-05,1.070615271390166
0.004344344344344344,5.307916042273326e-05,1.070619342915206
0.004354354354354355,5.297439587168692e-05,1.070623407057273
0.004364364364364365,5.286982135312048e-05,1.070627463827391
0.004374374374374375,5.276543658311548e-05,1.070631513236573
0.004384384384384384,5.266124127797255e-05,1.070635555295825
0.004394394394394394,5.255723515421211e-05,1.070639590016144
0.004404404404404405,5.24534179285753e-05,1.070643617408519
0.004414414414414414,5.234978931802451e-05,1.070647637483929
0.004424424424424424,5.224634903974433e-05,1.070651650253346
0.004434434434434434,5.21430968111422e-05,1.070655655727732
0.004444444444444444,5.204003234984918e-05,1.070659653918042
0.004454454454454455,5.193715537372078e-05,1.07066364483522
0.004464464464464465,5.183446560083764e-05,1.070667628490204
0.004474474474474474,5.173196274950631e-05,1.07067160489392
0.004484484484484485,5.162964653826005e-05,1.070675574057288
0.004494494494494495,5.152751668585955e-05,1.070679535991218
0.004504504504504504,5.142557291129365e-05,1.070683490706612
0.004514514514514514,5.132381493378021e-05,1.070687438214361
0.004524524524524525,5.122224247276677e-05,1.070691378525349
0.004534534534534534,5.112085524793135e-05,1.070695311650452
0.004544544544544544,5.101965297918323e-05,1.070699237600533
0.004554554554554555,5.091863538666361e-05,1.070703156386451
0.004564564564564565,5.081780219074653e-05,1.070707068019052
0.004574574574574575,5.071715311203951e-05,1.070710972509175
0.004584584584584585,5.061668787138432e-05,1.07071486986765
0.004594594594594595,5.051640618985776e-05,1.070718760105296
0.004604604604604605,5.041630778877246e-05,1.070722643232925
0.004614614614614615,5.031639238967755e-05,1.070726519261339
0.004624624624624625,5.021665971435951e-05,1.070730388201331
0.004634634634634634,5.011710948484286e-05,1.070734250063683
0.004644644644644644,5.001774142339094e-05,1.070738104859172
0.004654654654654655,4.991855525250668e-05,1.07074195259856
0.004664664664664665,4.981955069493341e-05,1.070745793292605
0.004674674674674675,4.972072747365546e-05,1.070749626952052
0.004684684684684685,4.962208527434791e-05,1.070753453589095
0.004694694694694695,4.95236238337974e-05,1.070757273213944
0.004704704704704705,4.942534289362499e-05,1.070761085836624
0.004714714714714715,4.932724217745837e-05,1.070764891467856
0.004724724724724724,4.922932140916088e-05,1.070768690118351
0.004734734734734735,4.913158031283217e-05,1.070772481798813
0.004744744744744745,4.903401861280878e-05,1.070776266519935
0.004754754754754755,4.893663603366483e-05,1.070780044292403
0.004764764764764765,4.883943230021266e-05,1.070783815126891
0.004774774774774775,4.874240713750347e-05,1.070787579034066
0.004784784784784785,4.864556027082797e-05,1.070791336024584
0.004794794794794795,4.8548891425717e-05,1.070795086109094
0.004804804804804805,4.845240032794225e-05,1.070798829298232
0.004814814814814815,4.835608670351678e-05,1.070802565602629
0.004824824824824825,4.825995027869579e-05,1.070806295032903
0.004834834834834835,4.816399077997721e-05,1.070810017599664
0.004844844844844844,4.806820793410234e-05,1.070813733313514
0.004854854854854856,4.797260146805648e-05,1.070817442185042
0.004864864864864865,4.787717110906966e-05,1.070821144224831
