"time","l2.v","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
0.53,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.54,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.55,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.5600000000000001,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.57,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.58,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.59,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.6,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.61,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.62,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.63,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.64,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.65,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.66,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.67,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.68,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.6899999999999999,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.7,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.71,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.72,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.73,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.74,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.75,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.76,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.77,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.78,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.79,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.8,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.8100000000000001,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.82,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.83,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.84,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.85,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.86,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.87,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.88,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.89,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.9,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.91,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.92,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.93,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.9399999999999999,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.95,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.96,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.97,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.98,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.99,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.01,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.02,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.03,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.04,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
1.05,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
