"time","l2.v","act_steady","act_tau_fast","act_tau_slow","inact_steady","inact_tau","v","vc.v"
0,-0.12,2.460129473798584e-06,0.01040368865102361,0.3358143547020467,0.9995009862688349,0.0009784913353531475,-0.12,-0.12
1,-0.1189999999999998,2.767268497979249e-06,0.01094648852473251,0.3358154352466079,0.9994669316039461,0.0009912489733602307,-0.1189999999999998,-0.1189999999999998
2,-0.1179999999999996,3.112752693639297e-06,0.01151745346685069,0.3358167701917263,0.9994305542384698,0.001004051817426213,-0.1179999999999996,-0.1179999999999996
3,-0.1169999999999996,3.501369281987519e-06,0.01211802137194858,0.3358184159585462,0.9993916959393172,0.001016895266328,-0.1169999999999996,-0.1169999999999996
4,-0.1159999999999996,3.938503138746455e-06,0.01274969995413624,0.3358204406398114,0.9993501877201932,0.001029774561544596,-0.1159999999999996,-0.1159999999999996
5,-0.1149999999999996,4.430211405338043e-06,0.01341406958465923,0.3358229262200554,0.9993058491145478,0.001042684788465309,-0.1149999999999996,-0.1149999999999996
6,-0.1139999999999996,4.983307413938007e-06,0.01411278615616982,0.3358259711755217,0.9992584873998924,0.001055620877959722,-0.1139999999999996,-0.1139999999999996
7,-0.1129999999999996,5.605455088911979e-06,0.01484758395715018,0.33582969350991,0.999207896770303,0.001068577608321543,-0.1129999999999996,-0.1129999999999996
8,-0.1119999999999996,6.305275132203484e-06,0.01562027853653304,0.3358342342885811,0.9991538574537333,0.001081549607597641,-0.1119999999999996,-0.1119999999999996
9,-0.1109999999999996,7.092464463391129e-06,0.01643276953460663,0.3358397617408143,0.9990961347705442,0.0010945313563127,-0.1109999999999996,-0.1109999999999996
10,-0.1099999999999996,7.97793056862135e-06,0.01728704345173358,0.335846476007067,0.9990344781294541,0.001107517190598945,-0.1099999999999996,-0.1099999999999996
11,-0.1089999999999996,8.973942618986303e-06,0.01818517632117892,0.3358546146158602,0.99896861995686,0.001120501305739269,-0.1089999999999996,-0.1089999999999996
12,-0.1079999999999996,1.009430145100202e-05,0.01912933624634799,0.3358644587828491,0.9988982745552497,0.00113347776013094,-0.1079999999999996,-0.1079999999999996
13,-0.1069999999999996,1.135453076284905e-05,0.02012178575588395,0.3358763406327079,0.9988231368861605,0.001146440479675716,-0.1069999999999996,-0.1069999999999996
14,-0.1059999999999996,1.277209217356271e-05,0.02116488392226783,0.3358906514525578,0.9987428812728709,0.001159383262600873,-0.1059999999999996,-0.1059999999999996
15,-0.1049999999999996,1.436662712244643e-05,0.0222610881806913,0.335907851093613,0.9986571600177181,0.001172299784714083,-0.1049999999999996,-0.1049999999999996
16,-0.1039999999999996,1.616022895716843e-05,0.02341295577491853,0.3359284786453481,0.998565601928639,0.001185183605093554,-0.1039999999999996,-0.1039999999999996
17,-0.1029999999999996,1.817774897639571e-05,0.02462314474549509,0.3359531645135403,0.9984678107492035,0.001198028172213146,-0.1029999999999996,-0.1029999999999996
18,-0.1019999999999996,2.044714066214767e-05,0.02589441436287634,0.3359826440397914,0.9983633634860772,0.00121082683050044,-0.1019999999999996,-0.1019999999999996
19,-0.1009999999999996,2.299984686475724e-05,0.02722962489370546,0.3360177728052444,0.9982518086274748,0.001223572827323895,-0.1009999999999996,-0.1009999999999996
20,-0.09999999999999964,2.587123529663786e-05,0.02863173657245178,0.3360595437648702,0.9981326642457983,0.001236259320403341,-0.09999999999999964,-0.09999999999999964
21,-0.09899999999999964,2.910108835808602e-05,0.03010380763280668,0.3361091063605123,0.9980054159772175,0.001248879385636124,-0.09899999999999964,-0.09899999999999964
22,-0.09799999999999964,3.27341540682159e-05,0.03164899123353022,0.3361677877604379,0.9978695148705171,0.001261426025329182,-0.09799999999999964,-0.09799999999999964
23,-0.09699999999999964,3.682076571704586e-05,0.03327053109177063,0.3362371163699872,0.9977243750970302,0.001273892176825335,-0.09699999999999964,-0.09699999999999964
24,-0.09599999999999966,4.141753880220493e-05,0.03497175561320814,0.3363188477515653,0.9975693715129434,0.001286270721509973,-0.09599999999999966,-0.09599999999999966
25,-0.09499999999999965,4.658815487856679e-05,0.03675607028271854,0.33641499308217,0.9974038370646472,0.001298554494182286,-0.09499999999999965,-0.09499999999999965
26,-0.09399999999999965,5.240424314575947e-05,0.03862694805170157,0.3365278502623522,0.9972270600271205,0.001310736292773068,-0.09399999999999965,-0.09399999999999965
27,-0.09299999999999967,5.894637194310484e-05,0.04058791742896062,0.3366600377714449,0.9970382810645531,0.001322808888389103,-0.09299999999999967,-0.09299999999999967
28,-0.09199999999999967,6.630516383219259e-05,0.04264254795136192,0.3368145313395076,0.9968366901014973,0.001334765035662072,-0.09199999999999967,-0.09199999999999967
29,-0.09099999999999966,7.458254964425195e-05,0.04479443267892007,0.3369947034762095,0.9966214229917638,0.001346597483377951,-0.09099999999999966,-0.09099999999999966
