"time","an.cell.l2.v","n.cell.l2.v","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
0.0001,-0.08976643798197333,-0.08969958005778986,-0.08971273599056331,-0.08976643798197333,-0.08969958005778986,-0.08971273599056331
0.0002,-0.08953570267024474,-0.08940287467072196,-0.08942957899009765,-0.08953570267024474,-0.08940287467072196,-0.08942957899009765
0.0003,-0.08930772873690816,-0.08910983095364888,-0.08915043040289944,-0.08930772873690816,-0.08910983095364888,-0.08915043040289944
0.0004,-0.08908245487570832,-0.08882039597036967,-0.08887519621061146,-0.08908245487570832,-0.08882039597036967,-0.08887519621061146
0.0005,-0.08885982038429228,-0.08853451510049327,-0.0886037822058694,-0.08885982038429228,-0.08853451510049327,-0.0886037822058694
0.0005999999999999999,-0.08863976630330786,-0.08825213265133965,-0.08833609558091941,-0.08863976630330786,-0.08825213265133965,-0.08833609558091941
0.0007,-0.08842223930954879,-0.08797319534716221,-0.08807205103421974,-0.08842223930954879,-0.08797319534716221,-0.08807205103421974
0.0008,-0.08820719063277409,-0.08769765226014628,-0.08781156963125561,-0.08820719063277409,-0.08769765226014628,-0.08781156963125561
0.0009,-0.08799457435004991,-0.087425453834241,-0.08755457651747843,-0.08799457435004991,-0.087425453834241,-0.08755457651747843
0.001,-0.08778434449196812,-0.08715655012145762,-0.08730099671199655,-0.08778434449196812,-0.08715655012145762,-0.08730099671199655
0.0011,-0.08757645841842154,-0.08689089294825968,-0.08705076011347855,-0.08757645841842154,-0.08689089294825968,-0.08705076011347855
0.0012,-0.08737087427192303,-0.08662843438229073,-0.08680379778608656,-0.08737087427192303,-0.08662843438229073,-0.08680379778608656
0.0013,-0.08716755101319161,-0.08636912690058338,-0.08656004210550286,-0.08716755101319161,-0.08636912690058338,-0.08656004210550286
0.0014,-0.08696645062707951,-0.08611292489448141,-0.08631943009461177,-0.08696645062707951,-0.08611292489448141,-0.08631943009461177
0.0015,-0.08676753484748566,-0.08585978263291338,-0.08608189856748542,-0.08676753484748566,-0.08585978263291338,-0.08608189856748542
0.0016,-0.08657076740574386,-0.08560965575866834,-0.0858473875330103,-0.08657076740574386,-0.08560965575866834,-0.0858473875330103
0.0017,-0.08637611333608097,-0.08536250093519819,-0.08561583920605395,-0.08637611333608097,-0.08536250093519819,-0.08561583920605395
0.0018,-0.0861835376179042,-0.08511827496594303,-0.08538719594847421,-0.0861835376179042,-0.08511827496594303,-0.08538719594847421
0.0019,-0.08599300643680774,-0.0848769355722504,-0.08516140215723932,-0.08599300643680774,-0.0848769355722504,-0.08516140215723932
0.002,-0.08580448776450708,-0.08463844186242853,-0.08493840517541514,-0.08580448776450708,-0.08463844186242853,-0.08493840517541514
0.0021,-0.08561795026735576,-0.08440275354896187,-0.08471815361774467,-0.08561795026735576,-0.08440275354896187,-0.08471815361774467
0.0022,-0.08543336291355214,-0.08416983078271886,-0.08450059679284128,-0.08543336291355214,-0.08416983078271886,-0.08450059679284128
0.0023,-0.08525069530712044,-0.08393963436585332,-0.08428568520921488,-0.08525069530712044,-0.08393963436585332,-0.08428568520921488
0.0024,-0.08506991814892986,-0.08371212602007154,-0.08407337127173872,-0.08506991814892986,-0.08371212602007154,-0.08407337127173872
0.0025,-0.08489100199850162,-0.08348726778441966,-0.08386360744981022,-0.08489100199850162,-0.08348726778441966,-0.08386360744981022
0.0026,-0.08471391869187039,-0.0832650226266764,-0.08365634834560604,-0.08471391869187039,-0.0832650226266764,-0.08365634834560604
0.0027,-0.0845386403363084,-0.08304535406570036,-0.08345154917451479,-0.0845386403363084,-0.08304535406570036,-0.08345154917451479
0.0028,-0.08436513978522713,-0.08282822630566498,-0.08324916654830571,-0.08436513978522713,-0.08282822630566498,-0.08324916654830571
0.0029,-0.08419339060286971,-0.08261360419965884,-0.08304915823614525,-0.08419339060286971,-0.08261360419965884,-0.08304915823614525
0.003,-0.0840233669274455,-0.08240145326100644,-0.08285148314858175,-0.0840233669274455,-0.08240145326100644,-0.08285148314858175
0.0031,-0.08385504338277452,-0.08219173951169099,-0.08265610104745094,-0.08385504338277452,-0.08219173951169099,-0.08265610104745094
0.0032,-0.08368839515745571,-0.08198442955352633,-0.08246297270116701,-0.08368839515745571,-0.08198442955352633,-0.08246297270116701
0.0033,-0.08352339812554892,-0.08177949069009256,-0.08227206014320318,-0.08352339812554892,-0.08177949069009256,-0.08227206014320318
0.0034,-0.08336002842438285,-0.08157689065555326,-0.08208332595174121,-0.08336002842438285,-0.08157689065555326,-0.08208332595174121
0.0035,-0.08319826250880645,-0.08137659765766091,-0.08189673335130764,-0.08319826250880645,-0.08137659765766091,-0.08189673335130764
0.0036,-0.08303807774441826,-0.08117858067544298,-0.08171224713226595,-0.08303807774441826,-0.08117858067544298,-0.08171224713226595
0.0037,-0.08287945180140384,-0.08098280908645891,-0.08152983263202558,-0.08287945180140384,-0.08098280908645891,-0.08152983263202558
0.0038,-0.08272236272147872,-0.08078925260823207,-0.08134945573227927,-0.08272236272147872,-0.08078925260823207,-0.08134945573227927
0.0039,-0.08256678921464386,-0.08059788178520458,-0.08117108370968917,-0.08256678921464386,-0.08059788178520458,-0.08117108370968917
0.004,-0.08241271031471126,-0.08040866753445353,-0.0809946843738517,-0.08241271031471126,-0.08040866753445353,-0.0809946843738517
0.0041,-0.08226010484450333,-0.08022158087671591,-0.0808202252221691,-0.08226010484450333,-0.08022158087671591,-0.0808202252221691
0.0042,-0.08210895282477763,-0.0800365938078938,-0.08064767585046083,-0.08210895282477763,-0.0800365938078938,-0.08064767585046083
0.0043,-0.08195923444953206,-0.07985367866069991,-0.08047700619475422,-0.08195923444953206,-0.07985367866069991,-0.08047700619475422
0.0044,-0.08181093016596272,-0.07967280786295075,-0.080308186345962,-0.08181093016596272,-0.07967280786295075,-0.080308186345962
0.0045,-0.08166402100816007,-0.07949395471211539,-0.0801411877493738,-0.08166402100816007,-0.07949395471211539,-0.0801411877493738
0.0046,-0.08151848836975252,-0.07931709284759395,-0.07997598238740918,-0.08151848836975252,-0.07931709284759395,-0.07997598238740918
0.0047,-0.08137431352549009,-0.07914219601443599,-0.07981254204778239,-0.08137431352549009,-0.07914219601443599,-0.07981254204778239
0.0048,-0.08123147850018934,-0.07896923865350684,-0.07965083983467856,-0.08123147850018934,-0.07896923865350684,-0.07965083983467856
0.0049,-0.08108996567551569,-0.07879819563442365,-0.07949084948491154,-0.08108996567551569,-0.07879819563442365,-0.07949084948491154
0.005,-0.08094975768481942,-0.07862904208673011,-0.07933254509016002,-0.08094975768481942,-0.07862904208673011,-0.07933254509016002
0.0051,-0.08081083751781572,-0.07846175355647637,-0.07917590136228227,-0.08081083751781572,-0.07846175355647637,-0.07917590136228227
0.0052,-0.08067318853733611,-0.07829630604360736,-0.07902089368778459,-0.08067318853733611,-0.07829630604360736,-0.07902089368778459
0.0053,-0.08053679429926119,-0.07813267581172351,-0.07886749775937679,-0.08053679429926119,-0.07813267581172351,-0.07886749775937679
0.0054,-0.08040163857399397,-0.07797083941991634,-0.07871568962929239,-0.08040163857399397,-0.07797083941991634,-0.07871568962929239
0.0055,-0.08026770556357844,-0.07781077385814128,-0.07856544605713735,-0.08026770556357844,-0.07781077385814128,-0.07856544605713735
0.0056,-0.0801349797419821,-0.07765245647433795,-0.07841674428331905,-0.0801349797419821,-0.07765245647433795,-0.07841674428331905
0.0057,-0.08000344599996616,-0.07749586511201931,-0.07826956231232443,-0.08000344599996616,-0.07749586511201931,-0.07826956231232443
0.0058,-0.07987308934412513,-0.07734097776638785,-0.07812387826225921,-0.07987308934412513,-0.07734097776638785,-0.07812387826225921
0.0059,-0.07974389508109159,-0.07718777280565785,-0.07797967077653604,-0.07974389508109159,-0.07718777280565785,-0.07797967077653604
0.006,-0.07961584854490007,-0.07703622870450995,-0.07783691849059231,-0.07961584854490007,-0.07703622870450995,-0.07783691849059231
0.0061,-0.07948893552205852,-0.07688632444107976,-0.07769560084033278,-0.07948893552205852,-0.07688632444107976,-0.07769560084033278
0.0062,-0.07936314194659076,-0.07673803921193184,-0.07755569748273389,-0.07936314194659076,-0.07673803921193184,-0.07755569748273389
0.0063,-0.07923845448866197,-0.07659135295658238,-0.07741718940964798,-0.07923845448866197,-0.07659135295658238,-0.07741718940964798
0.0064,-0.0791148596228944,-0.0764462455321584,-0.07728005718691219,-0.0791148596228944,-0.0764462455321584,-0.07728005718691219
