"time","ca.cyto.con","ca.jsr.con","ca.nsr.con","ca.sub.con","cal.i_ion","naca.i_ion","cal.i","naca.i"
0,0.0003623,0.08227,1.146,0.0002294,-6.983099538132742e-11,-4.491549769066371e-11,-6.983099538132742e-11,-4.491549769066371e-11
0.0001,0.0009122046274783259,0.08163363618774687,1.14607964886338,0.0006120346778833668,-6.978083679468484e-11,-4.489041839734242e-11,-6.978083679468484e-11,-4.489041839734242e-11
0.0002,0.001102649491843721,0.07959297218464745,1.146210916160828,0.0008797190954077404,-6.973066415672905e-11,-4.486533207836452e-11,-6.973066415672905e-11,-4.486533207836452e-11
0.0003,0.001175804300133144,0.07757709492527314,1.146354832314338,0.0009935513116660136,-6.968047754960347e-11,-4.484023877480173e-11,-6.968047754960347e-11,-4.484023877480173e-11
0.0004,0.001209230948880046,0.0760429661652199,1.146503211449111,0.001048817341247251,-6.963027705542252e-11,-4.481513852771126e-11,-6.963027705542252e-11,-4.481513852771126e-11
0.0005,0.001228740865431707,0.07492315023649247,1.146653666152329,0.001084441449022655,-6.958006275627137e-11,-4.479003137813568e-11,-6.958006275627137e-11,-4.479003137813568e-11
0.0005999999999999999,0.001243030025727737,0.07407858709636017,1.146805410011672,0.001113128792776453,-6.95298347342058e-11,-4.47649173671029e-11,-6.95298347342058e-11,-4.47649173671029e-11
0.0007,0.001255056021240583,0.07340239380725649,1.146958148609348,0.001138891261520307,-6.947959307125192e-11,-4.473979653562596e-11,-6.947959307125192e-11,-4.473979653562596e-11
0.0008,0.001265840834815932,0.07282658201484142,1.147111744116897,0.00116297705040835,-6.942933784940598e-11,-4.471466892470299e-11,-6.942933784940598e-11,-4.471466892470299e-11
0.0009,0.001275749190542855,0.07231095645876368,1.147266109720959,0.001185763854748614,-6.937906915063416e-11,-4.468953457531708e-11,-6.937906915063416e-11,-4.468953457531708e-11
0.001,0.001284921529219098,0.07183255317274917,1.147421176206552,0.001207363588208185,-6.932878705687234e-11,-4.466439352843617e-11,-6.932878705687234e-11,-4.466439352843617e-11
0.0011,0.00129342142745389,0.07137845563163411,1.147576881573073,0.001227813466635921,-6.927849165002587e-11,-4.463924582501293e-11,-6.927849165002587e-11,-4.463924582501293e-11
0.0012,0.001301286279811838,0.07094141297626444,1.147733167906201,0.00124713454660778,-6.922818301196947e-11,-4.461409150598473e-11,-6.922818301196947e-11,-4.461409150598473e-11
0.0013,0.00130854435318124,0.07051732929288253,1.147889980504905,0.001265347626242265,-6.917786122454682e-11,-4.458893061227341e-11,-6.917786122454682e-11,-4.458893061227341e-11
0.0014,0.001315220990998912,0.07010383940153529,1.148047267599488,0.001282477094341708,-6.912752636957055e-11,-4.456376318478527e-11,-6.912752636957055e-11,-4.456376318478527e-11
0.0015,0.001321340525610093,0.06969952384184469,1.148204980247802,0.001298550772386143,-6.907717852882189e-11,-4.453858926441094e-11,-6.907717852882189e-11,-4.453858926441094e-11
0.0016,0.001326926906781897,0.06930348139250907,1.148363072242387,0.001313599162155185,-6.902681778405051e-11,-4.451340889202525e-11,-6.902681778405051e-11,-4.451340889202525e-11
0.0017,0.001332003821532723,0.06891509701641094,1.148521500011269,0.001327654656809377,-6.89764442169743e-11,-4.448822210848715e-11,-6.89764442169743e-11,-4.448822210848715e-11
0.0018,0.001336594676487858,0.06853391670335214,1.148680222506649,0.00134075094147428,-6.892605790927916e-11,-4.446302895463958e-11,-6.892605790927916e-11,-4.446302895463958e-11
0.0019,0.001340722533587022,0.06815957538110069,1.148839201088778,0.001352922523501749,-6.88756589426188e-11,-4.44378294713094e-11,-6.88756589426188e-11,-4.44378294713094e-11
0.002,0.001344410029321504,0.06779176686171727,1.148998399407007,0.001364204403416021,-6.882524739861451e-11,-4.441262369930725e-11,-6.882524739861451e-11,-4.441262369930725e-11
0.0021,0.001347679299591204,0.06743022301495621,1.149157783283741,0.001374631788948344,-6.877482335885496e-11,-4.438741167942748e-11,-6.877482335885496e-11,-4.438741167942748e-11
