"time","vc.i"
0.0126,-5.914093001413927e-13
0.0127,-5.881903026415205e-13
0.0128,-5.852191925340879e-13
0.0129,-5.824859534762386e-13
0.013,-5.799809538081737e-13
0.0131,-5.776949328075449e-13
0.0132,-5.756189873726207e-13
0.0133,-5.737445591219413e-13
0.0134,-5.720634219072726e-13
0.0135,-5.705676697252427e-13
0.0136,-5.692497050192039e-13
0.0137,-5.681022273630419e-13
0.0138,-5.671182225169089e-13
0.0139,-5.662909518458946e-13
0.014,-5.656139420897808e-13
0.0141,-5.650809754795061e-13
0.0142,-5.646860801865109e-13
0.0143,-5.644235210971008e-13
0.0144,-5.642877909033566e-13
0.0145,-5.64273601501274e-13
0.0146,-5.643758756876478e-13
0.0147,-5.64589739145083e-13
0.0148,-5.649105127105596e-13
0.0149,-5.6533370491529e-13
0.015,-5.658550047889989e-13
0.0151,-5.664702749207872e-13
0.0152,-5.671755447684142e-13
0.0153,-5.679670042085057e-13
0.0154,-5.688409973185917e-13
0.0155,-5.697940163867185e-13
0.0156,-5.708226961381872e-13
0.0157,-5.719238081736605e-13
0.0158,-5.730942556117813e-13
0.0159,-5.743310679294221e-13
0.016,-5.756313959932118e-13
0.0161,-5.769925072747873e-13
0.0162,-5.784117812482617e-13
0.0163,-5.798867049887701e-13
0.0164,-5.814148688141999e-13
0.0165,-5.829939622667717e-13
0.0166,-5.846217700893889e-13
0.0167,-5.862961685052598e-13
0.0168,-5.88015121517554e-13
0.0169,-5.89776677405748e-13
0.017,-5.915789653323766e-13
0.0171,-5.934201920965426e-13
0.0172,-5.952986390060442e-13
0.0173,-5.972126588719189e-13
0.0174,-5.991606731168766e-13
0.0175,-6.011411689970946e-13
0.0176,-6.031526969323015e-13
0.0177,-6.051938679403187e-13
0.0178,-6.072633511715512e-13
0.0179,-6.093598715399049e-13
0.018,-6.114822074467128e-13
0.0181,-6.136291885943534e-13
0.0182,-6.157996938861611e-13
0.0183,-6.179926494093407e-13
0.0184,-6.202070264977434e-13
0.0185,-6.224418398715337e-13
