"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0.0069,-2.090531612794415e-14,-4.160043568471276e-11,-2.090531612794415e-14,-4.160043568471276e-11
0.007,-2.175008117929716e-14,-4.142289911357791e-11,-2.175008117929716e-14,-4.142289911357791e-11
0.0071,-2.262156555208947e-14,-4.124623707907856e-11,-2.262156555208947e-14,-4.124623707907856e-11
0.0072,-2.351982459336861e-14,-4.107049556695631e-11,-2.351982459336861e-14,-4.107049556695631e-11
0.0073,-2.444492815094127e-14,-4.089571539853118e-11,-2.444492815094127e-14,-4.089571539853118e-11
0.0074,-2.539694294925069e-14,-4.072193371772506e-11,-2.539694294925069e-14,-4.072193371772506e-11
0.0075,-2.637595925534813e-14,-4.054918187884256e-11,-2.637595925534813e-14,-4.054918187884256e-11
0.0076,-2.738202839579361e-14,-4.037749076949772e-11,-2.738202839579361e-14,-4.037749076949772e-11
0.0077,-2.841519847998267e-14,-4.020688796763968e-11,-2.841519847998267e-14,-4.020688796763968e-11
0.0078,-2.947550737098724e-14,-4.003739845067716e-11,-2.947550737098724e-14,-4.003739845067716e-11
0.007900000000000001,-3.056301828404707e-14,-3.986904181524462e-11,-3.056301828404707e-14,-3.986904181524462e-11
0.008,-3.167774693283988e-14,-3.970183835305132e-11,-3.167774693283988e-14,-3.970183835305132e-11
0.0081,-3.281970398641898e-14,-3.953580570219996e-11,-3.281970398641898e-14,-3.953580570219996e-11
0.008200000000000001,-3.398888819544413e-14,-3.937095952881504e-11,-3.398888819544413e-14,-3.937095952881504e-11
0.0083,-3.518531820131728e-14,-3.920731057811644e-11,-3.518531820131728e-14,-3.920731057811644e-11
0.008399999999999999,-3.64089676496026e-14,-3.904487094141625e-11,-3.64089676496026e-14,-3.904487094141625e-11
0.008500000000000001,-3.765980304189927e-14,-3.888365055605324e-11,-3.765980304189927e-14,-3.888365055605324e-11
0.0086,-3.893777843182684e-14,-3.872365780692304e-11,-3.893777843182684e-14,-3.872365780692304e-11
0.008699999999999999,-4.024285955661566e-14,-3.856489704798279e-11,-4.024285955661566e-14,-3.856489704798279e-11
0.008800000000000001,-4.15749746036372e-14,-3.840737388288291e-11,-4.15749746036372e-14,-3.840737388288291e-11
0.0089,-4.293404280664372e-14,-3.825109223346524e-11,-4.293404280664372e-14,-3.825109223346524e-11
0.008999999999999999,-4.431997097232141e-14,-3.809605479102933e-11,-4.431997097232141e-14,-3.809605479102933e-11
0.0091,-4.573266689518676e-14,-3.794226197623041e-11,-4.573266689518676e-14,-3.794226197623041e-11
0.0092,-4.717201123351671e-14,-3.778971446759129e-11,-4.717201123351671e-14,-3.778971446759129e-11
0.009299999999999999,-4.863787363702368e-14,-3.763841189457893e-11,-4.863787363702368e-14,-3.763841189457893e-11
0.0094,-5.013011100495606e-14,-3.748835307837299e-11,-5.013011100495606e-14,-3.748835307837299e-11
0.0095,-5.164857577216113e-14,-3.733953449720758e-11,-5.164857577216113e-14,-3.733953449720758e-11
0.009599999999999999,-5.319309875213776e-14,-3.719195347218049e-11,-5.319309875213776e-14,-3.719195347218049e-11
0.0097,-5.476349887420956e-14,-3.704560645981826e-11,-5.476349887420956e-14,-3.704560645981826e-11
0.0098,-5.635958229037696e-14,-3.690048927757927e-11,-5.635958229037696e-14,-3.690048927757927e-11
0.009900000000000001,-5.79811504935607e-14,-3.675659568202522e-11,-5.79811504935607e-14,-3.675659568202522e-11
0.01,-5.962798450762928e-14,-3.661392032096118e-11,-5.962798450762928e-14,-3.661392032096118e-11
0.0101,-6.129985387991995e-14,-3.647245714866462e-11,-6.129985387991995e-14,-3.647245714866462e-11
0.0102,-6.299651609304749e-14,-3.633219959304087e-11,-6.299651609304749e-14,-3.633219959304087e-11
0.0103,-6.471772505436398e-14,-3.619314033122385e-11,-6.471772505436398e-14,-3.619314033122385e-11
0.0104,-6.646321505948833e-14,-3.605527205441971e-11,-6.646321505948833e-14,-3.605527205441971e-11
0.0105,-6.823270994561879e-14,-3.591858712487299e-11,-6.823270994561879e-14,-3.591858712487299e-11
0.0106,-7.002592274925252e-14,-3.578307765028658e-11,-7.002592274925252e-14,-3.578307765028658e-11
0.0107,-7.184256264761402e-14,-3.564873478824573e-11,-7.184256264761402e-14,-3.564873478824573e-11
0.0108,-7.368232194798075e-14,-3.551555016183135e-11,-7.368232194798075e-14,-3.551555016183135e-11
0.0109,-7.55448835658717e-14,-3.538351514632965e-11,-7.55448835658717e-14,-3.538351514632965e-11
0.011,-7.742992097709686e-14,-3.525262093808696e-11,-7.742992097709686e-14,-3.525262093808696e-11
0.0111,-7.933710273210398e-14,-3.51228573744614e-11,-7.933710273210398e-14,-3.51228573744614e-11
0.0112,-8.126608414797485e-14,-3.499421520371445e-11,-8.126608414797485e-14,-3.499421520371445e-11
0.0113,-8.321651220015098e-14,-3.486668489304434e-11,-8.321651220015098e-14,-3.486668489304434e-11
0.0114,-8.518802569791628e-14,-3.474025667434268e-11,-8.518802569791628e-14,-3.474025667434268e-11
0.0115,-8.718025817484831e-14,-3.461492068172999e-11,-8.718025817484831e-14,-3.461492068172999e-11
0.0116,-8.919283290886922e-14,-3.449066696567681e-11,-8.919283290886922e-14,-3.449066696567681e-11
0.0117,-9.122536600759136e-14,-3.436748552279598e-11,-9.122536600759136e-14,-3.436748552279598e-11
0.0118,-9.327746669659637e-14,-3.424536632016801e-11,-9.327746669659637e-14,-3.424536632016801e-11
0.0119,-9.534874063794834e-14,-3.412429900216336e-11,-9.534874063794834e-14,-3.412429900216336e-11
0.012,-9.743878459867241e-14,-3.400427345671388e-11,-9.743878459867241e-14,-3.400427345671388e-11
0.0121,-9.95471897233394e-14,-3.388527954961657e-11,-9.95471897233394e-14,-3.388527954961657e-11
0.0122,-1.016735419198995e-13,-3.376730713888989e-11,-1.016735419198995e-13,-3.376730713888989e-11
0.0123,-1.038174218790364e-13,-3.365034612354954e-11,-1.038174218790364e-13,-3.365034612354954e-11
0.0124,-1.059784053926617e-13,-3.353438646327838e-11,-1.059784053926617e-13,-3.353438646327838e-11
0.0125,-1.081560636691718e-13,-3.341941819810845e-11,-1.081560636691718e-13,-3.341941819810845e-11
0.0126,-1.103499636454454e-13,-3.330543146811903e-11,-1.103499636454454e-13,-3.330543146811903e-11
0.0127,-1.125596668119267e-13,-3.319241437974372e-11,-1.125596668119267e-13,-3.319241437974372e-11
0.0128,-1.147847326543857e-13,-3.308035758991241e-11,-1.147847326543857e-13,-3.308035758991241e-11
0.0129,-1.17024716927446e-13,-3.296925136934326e-11,-1.17024716927446e-13,-3.296925136934326e-11
0.013,-1.192791720805287e-13,-3.285908581105647e-11,-1.192791720805287e-13,-3.285908581105647e-11
0.0131,-1.215476477257233e-13,-3.274985110182656e-11,-1.215476477257233e-13,-3.274985110182656e-11
0.0132,-1.238296909241455e-13,-3.264153753454864e-11,-1.238296909241455e-13,-3.264153753454864e-11
0.0133,-1.26124846468969e-13,-3.25341355206339e-11,-1.26124846468969e-13,-3.25341355206339e-11
0.0134,-1.284326716057244e-13,-3.242763390932086e-11,-1.284326716057244e-13,-3.242763390932086e-11
0.0135,-1.307527124711647e-13,-3.232202282749545e-11,-1.307527124711647e-13,-3.232202282749545e-11
