"time","ca.cyto.c.c","ca.jsr.c.c","ca.nsr.c.c","ca.sub.c.c","cal.i","naca.i"
0,0.0003623,0.08227,1.146,0.0002294,-6.976763260710311e-11,-4.488381630355155e-11
0.0001,0.000912204618211654,0.08163363561286771,1.146079648913699,0.0006120347348382361,-6.971739289279108e-11,-4.485869644639554e-11
0.0002,0.00110264954013223,0.07959297121439801,1.146210916175258,0.0008797190863544457,-6.966713919576935e-11,-4.483356959788467e-11
0.0003,0.001175804325032463,0.07757709447409783,1.146354832325969,0.0009935513245009219,-6.961687159845615e-11,-4.480843579922807e-11
0.0004,0.001209231124957156,0.07604296931321376,1.146503211421383,0.001048817572963412,-6.956659018324028e-11,-4.478329509162014e-11
0.0005,0.001228741009330297,0.07492315263822993,1.146653666122791,0.001084441667013357,-6.951629503248092e-11,-4.475814751624046e-11
0.0005999999999999999,0.001243030102363756,0.07407858813753851,1.146805409987807,0.001113128907183382,-6.946598622850737e-11,-4.473299311425368e-11
0.0007,0.001255056119860246,0.07340239417522119,1.146958148583355,0.001138891406321117,-6.94156638536189e-11,-4.470783192680945e-11
0.0008,0.001265840901975676,0.07282658160594735,1.147111744093492,0.001162977144402116,-6.936532799008444e-11,-4.468266399504222e-11
0.0009,0.001275749224525533,0.07231095576108137,1.147266109700254,0.001185763899594625,-6.931497872014244e-11,-4.465748936007122e-11
0.001,0.001284921554919999,0.07183255200853438,1.147421176186574,0.001207363619913264,-6.926461612600065e-11,-4.463230806300032e-11
0.0011,0.00129342149569171,0.07137845098970205,1.147576881550411,0.001227813545647372,-6.921424028983588e-11,-4.460712014491794e-11
0.0012,0.001301286325499257,0.07094140736959656,1.14773316788553,0.001247134588726944,-6.916385129379377e-11,-4.458192564689688e-11
0.0013,0.001308544380054522,0.07051732448159478,1.14788998048546,0.00126534764478953,-6.911344921998865e-11,-4.455672460999432e-11
0.0014,0.001315221002425886,0.07010383581035579,1.148047267580901,0.001282477095550727,-6.906303415050322e-11,-4.453151707525161e-11
0.0015,0.001321340530630795,0.06969952143254284,1.148204980229344,0.001298550769037496,-6.901260616738844e-11,-4.450630308369422e-11
0.0016,0.001326926908565442,0.06930347980093493,1.148363072223914,0.001313599157544008,-6.896216535266326e-11,-4.448108267633163e-11
0.0017,0.001332003822368362,0.06891509537035062,1.148521499992753,0.001327654650403398,-6.891171178831442e-11,-4.445585589415721e-11
0.0018,0.001336594678687788,0.06853391311306237,1.14868022248812,0.001340750928377564,-6.886124555629619e-11,-4.443062277814809e-11
0.0019,0.00134072253624456,0.06815957089379172,1.148839201069864,0.001352922506360094,-6.881076673853028e-11,-4.440538336926514e-11
0.002,0.001344410029568879,0.06779176302430649,1.148998399387446,0.00136420438417909,-6.876027541690552e-11,-4.438013770845276e-11
0.0021,0.001347679298149641,0.06743022052645563,1.149157783263338,0.001374631771611036,-6.870977167327765e-11,-4.435488583663882e-11
0.0022,0.001350551925060853,0.06707470031057826,1.149317320579456,0.001384239864656642,-6.865925558946921e-11,-4.43296277947346e-11
0.0023,0.001353048885867334,0.06672497909392866,1.149476981167542,0.001393063658765412,-6.860872724726916e-11,-4.430436362363458e-11
0.0024,0.001355190507464395,0.06638084983235788,1.149636736703921,0.001401137790332528,-6.855818672843283e-11,-4.427909336421641e-11
0.0025,0.00135699643611787,0.06604211948403527,1.149796560608818,0.001408496401175181,-6.850763411468167e-11,-4.425381705734083e-11
0.0026,0.001358485613858782,0.06570860748263402,1.149956427950256,0.001415173022633648,-6.845706948770296e-11,-4.422853474385148e-11
0.0027,0.001359676262374631,0.06538014459415181,1.150116315352467,0.001421200477012973,-6.840649292914968e-11,-4.420324646457484e-11
0.0028,0.001360585873565202,0.06505657198836874,1.150276200908722,0.001426610794659086,-6.835590452064027e-11,-4.417795226032013e-11
0.0029,0.001361231205972148,0.06473774043814422,1.150436064098439,0.001431435145270414,-6.830530434375844e-11,-4.415265217187922e-11
0.003,0.001361628286338902,0.06442350960240122,1.15059588570844,0.001435703782208052,-6.825469248005293e-11,-4.412734624002646e-11
0.0031,0.001361792415609287,0.06411374737047978,1.150755647758196,0.001439445998661387,-6.820406901103734e-11,-4.410203450551867e-11
0.0032,0.001361738178721616,0.06380832925642504,1.150915333428914,0.001442690094573973,-6.815343401818989e-11,-4.407671700909494e-11
0.0033,0.001361479457616217,0.06350713783725642,1.151074926996303,0.001445463353287821,-6.810278758295319e-11,-4.405139379147659e-11
0.0034,0.001361029446920102,0.06321006223158075,1.151234413766902,0.001447792026931172,-6.805212978673411e-11,-4.402606489336705e-11
0.0035,0.001360400671816738,0.06291699761595657,1.151393780017771,0.001449701329552506,-6.800146071090352e-11,-4.400073035545176e-11
0.0036,0.00135960500767362,0.06262784477704847,1.151553012939443,0.001451215437121108,-6.795078043679608e-11,-4.397539021839804e-11
0.0037,0.001358653701036012,0.06234250969755184,1.151712100581954,0.001452357493533269,-6.790008904571004e-11,-4.395004452285502e-11
0.0038,0.001357557391641837,0.06206090317392712,1.151871031803847,0.001453149621825113,-6.7849386618907e-11,-4.39246933094535e-11
0.0039,0.001356326135154296,0.0617829404639775,1.152029796223977,0.001453612939849528,-6.779867323761178e-11,-4.389933661880589e-11
0.004,0.001354969426346911,0.06150854096230226,1.152188384176015,0.001453767579733333,-6.774794898301221e-11,-4.387397449150611e-11
