"time","l2.v","act_steady","act_tau","v","vc.v"
0,-0.12,0.937882782442078,0.263475893998171,-0.12,-0.12
1,-0.1190000000000001,0.9334451296886126,0.2664266080068969,-0.1190000000000001,-0.1190000000000001
2,-0.1180000000000002,0.928714547225832,0.2699434837227523,-0.1180000000000002,-0.1180000000000002
3,-0.1170000000000002,0.9236752180061102,0.2741166496676219,-0.1170000000000002,-0.1170000000000002
4,-0.1160000000000002,0.9183109819848191,0.2790466297054127,-0.1160000000000002,-0.1160000000000002
5,-0.1150000000000002,0.9126054093084004,0.2848447492789857,-0.1150000000000002,-0.1150000000000002
6,-0.1140000000000002,0.9065418873303821,0.2916333887506101,-0.1140000000000002,-0.1140000000000002
7,-0.1130000000000003,0.9001037224921655,0.2995460460066263,-0.1130000000000003,-0.1130000000000003
8,-0.1120000000000003,0.8932742579960574,0.3087271686953963,-0.1120000000000003,-0.1120000000000003
9,-0.1110000000000003,0.8860370080382796,0.3193317157021501,-0.1110000000000003,-0.1110000000000003
10,-0.1100000000000003,0.8783758091525595,0.3315244079567293,-0.1100000000000003,-0.1100000000000003
11,-0.1090000000000002,0.8702749889340261,0.3454786306424784,-0.1090000000000002,-0.1090000000000002
12,-0.1080000000000003,0.8617195520632696,0.3613749525265356,-0.1080000000000003,-0.1080000000000003
13,-0.1070000000000003,0.8526953831280937,0.3793992336275661,-0.1070000000000003,-0.1070000000000003
14,-0.1060000000000002,0.8431894652447269,0.3997402998905144,-0.1060000000000002,-0.1060000000000002
15,-0.1050000000000002,0.8331901129133495,0.4225871729987354,-0.1050000000000002,-0.1050000000000002
16,-0.1040000000000002,0.8226872169111045,0.4481258548934883,-0.1040000000000002,-0.1040000000000002
17,-0.1030000000000002,0.8116724983404803,0.476535679871172,-0.1030000000000002,-0.1030000000000002
18,-0.1020000000000002,0.8001397682287703,0.5079852620730312,-0.1020000000000002,-0.1020000000000002
19,-0.1010000000000002,0.788085188337814,0.5426280824492624,-0.1010000000000002,-0.1010000000000002
20,-0.1000000000000002,0.7755075281210326,0.5805977764431645,-0.1000000000000002,-0.1000000000000002
21,-0.09900000000000023,0.7624084120912757,0.6220032011738081,-0.09900000000000023,-0.09900000000000023
22,-0.09800000000000023,0.7487925512774588,0.6669233781792531,-0.09800000000000023,-0.09800000000000023
23,-0.09700000000000022,0.7346679519931966,0.7154024241231314,-0.09700000000000022,-0.09700000000000022
24,-0.09600000000000022,0.7200460948608335,0.7674445965192687,-0.09600000000000022,-0.09600000000000022
25,-0.09500000000000022,0.7049420769724457,0.8230095937203679,-0.09500000000000022,-0.09500000000000022
26,-0.09400000000000022,0.6893747102640947,0.882008257383712,-0.09400000000000022,-0.09400000000000022
27,-0.09300000000000021,0.6733665696614585,0.9442988306490079,-0.09300000000000021,-0.09300000000000021
28,-0.09200000000000021,0.6569439853429377,1.009683925702744,-0.09200000000000021,-0.09200000000000021
29,-0.09100000000000021,0.6401369745644508,1.077908349742534,-0.09100000000000021,-0.09100000000000021
30,-0.0900000000000002,0.6229791098846509,1.148657928234429,-0.0900000000000002,-0.0900000000000002
31,-0.08900000000000022,0.6055073222869993,1.221559448607755,-0.08900000000000022,-0.08900000000000022
32,-0.08800000000000022,0.5877616395629256,1.296181826204986,-0.08800000000000022,-0.08800000000000022
33,-0.08700000000000022,0.5697848623265571,1.372038567684325,-0.08700000000000022,-0.08700000000000022
34,-0.08600000000000022,0.5516221820889956,1.448591575691061,-0.08600000000000022,-0.08600000000000022
35,-0.08500000000000021,0.5333207478308555,1.525256303243531,-0.08500000000000021,-0.08500000000000021
36,-0.08400000000000021,0.5149291893730823,1.601408227921237,-0.08400000000000021,-0.08400000000000021
37,-0.08300000000000021,0.4964971074577026,1.676390575796549,-0.08300000000000021,-0.08300000000000021
38,-0.08200000000000021,0.4780745417218052,1.749523184478068,-0.08200000000000021,-0.08200000000000021
39,-0.08100000000000021,0.4597114286062895,1.820112355103645,-0.08100000000000021,-0.08100000000000021
40,-0.08000000000000021,0.441457061635245,1.887461506155951,-0.08000000000000021,-0.08000000000000021
41,-0.07900000000000022,0.4233595664087476,1.950882409080453,-0.07900000000000022,-0.07900000000000022
42,-0.07800000000000022,0.4054654020769515,2.009706758289275,-0.07800000000000022,-0.07800000000000022
43,-0.07700000000000022,0.3878189000407209,2.063297807507831,-0.07700000000000022,-0.07700000000000022
44,-0.07600000000000022,0.3704618492134856,2.111061791622402,-0.07600000000000022,-0.07600000000000022
45,-0.07500000000000022,0.3534331354611647,2.15245884900142,-0.07500000000000022,-0.07500000000000022
46,-0.07400000000000022,0.3367684409068098,2.187013164158389,-0.07400000000000022,-0.07400000000000022
47,-0.07300000000000022,0.3205000067461203,2.214322064716597,-0.07300000000000022,-0.07300000000000022
48,-0.07200000000000022,0.304656461170884,2.234063829674118,-0.07200000000000022,-0.07200000000000022
49,-0.07100000000000022,0.289262712034236,2.246003997334665,-0.07100000000000022,-0.07100000000000022
50,-0.07000000000000021,0.2743399020961896,2.25,-0.07000000000000021,-0.07000000000000021
51,-0.06900000000000021,0.2599054231250127,2.246003997334668,-0.06900000000000021,-0.06900000000000021
52,-0.06800000000000021,0.2459729838453041,2.234063829674125,-0.06800000000000021,-0.06800000000000021
53,-0.06700000000000021,0.232552725742756,2.214322064716606,-0.06700000000000021,-0.06700000000000021
54,-0.06600000000000021,0.2196513800652986,2.187013164158401,-0.06600000000000021,-0.06600000000000021
