"time","vc.v_stim","vc.i","vc.is_end","vc.is_peak","vc.is_tail","vc.v_pulse","vc.vs_end","vc.vs_tail","vc.v","vc.vs_peak"
0.6,-0.04,5.838130757388427e-12,0,0,0,-0.04,0,0,-0.04,0
0.61,-0.04,5.710909914149985e-12,0,0,0,-0.04,0,0,-0.04,0
0.62,-0.04,5.588995723809966e-12,0,0,0,-0.04,0,0,-0.04,0
0.63,-0.04,5.472139357440839e-12,0,0,0,-0.04,0,0,-0.04,0
0.64,-0.04,5.360104116417585e-12,0,0,0,-0.04,0,0,-0.04,0
0.65,-0.04,5.252664834139058e-12,0,0,0,-0.04,0,0,-0.04,0
0.66,-0.04,5.149607307356868e-12,0,0,0,-0.04,0,0,-0.04,0
0.67,-0.04,5.050727755645222e-12,0,0,0,-0.04,0,0,-0.04,0
0.68,-0.04,4.955832307617722e-12,0,0,0,-0.04,0,0,-0.04,0
0.6899999999999999,-0.04,4.864736512566273e-12,0,0,0,-0.04,0,0,-0.04,0
0.7,-0.04,4.777264876262769e-12,0,0,0,-0.04,0,0,-0.04,0
0.71,-0.04,4.693250419726785e-12,0,0,0,-0.04,0,0,-0.04,0
0.72,-0.04,4.612534259821661e-12,0,0,0,-0.04,0,0,-0.04,0
0.73,-0.04,4.534965210597828e-12,0,0,0,-0.04,0,0,-0.04,0
0.74,-0.04,4.460399404355725e-12,0,0,0,-0.04,0,0,-0.04,0
0.75,-0.04,4.388699931451636e-12,0,0,0,-0.04,0,0,-0.04,0
0.76,-0.04,4.319736497918119e-12,0,0,0,-0.04,0,0,-0.04,0
0.77,-0.04,4.253385100016722e-12,0,0,0,-0.04,0,0,-0.04,0
0.78,-0.04,4.189527714884394e-12,0,0,0,-0.04,0,0,-0.04,0
0.79,-0.04,4.128052006476532e-12,0,0,0,-0.04,0,0,-0.04,0
0.8,-0.04,4.068851046049126e-12,0,0,0,-0.04,0,0,-0.04,0
0.8100000000000001,-0.04,4.011823046459963e-12,0,0,0,-0.04,0,0,-0.04,0
0.82,-0.04,3.956871109604563e-12,0,0,0,-0.04,0,0,-0.04,0
0.83,-0.04,3.903902986336379e-12,0,0,0,-0.04,0,0,-0.04,0
0.84,-0.04,3.852830848253089e-12,0,0,0,-0.04,0,0,-0.04,0
0.85,-0.04,3.803571070761336e-12,0,0,0,-0.04,0,0,-0.04,0
0.86,-0.04,3.756044026861513e-12,0,0,0,-0.04,0,0,-0.04,0
0.87,-0.04,3.710173891121729e-12,0,0,0,-0.04,0,0,-0.04,0
0.88,-0.04,3.665888453336486e-12,0,0,0,-0.04,0,0,-0.04,0
0.89,-0.04,3.623118941390531e-12,0,0,0,-0.04,0,0,-0.04,0
0.9,-0.04,3.581799852872164e-12,0,0,0,-0.04,0,0,-0.04,0
0.91,-0.04,3.541868795002786e-12,0,0,0,-0.04,0,0,-0.04,0
0.92,-0.04,3.503266332471e-12,0,0,0,-0.04,0,0,-0.04,0
0.93,-0.04,3.46593584277993e-12,0,0,0,-0.04,0,0,-0.04,0
0.9399999999999999,-0.04,3.429823378735848e-12,0,0,0,-0.04,0,0,-0.04,0
0.95,-0.04,3.394877537724575e-12,0,0,0,-0.04,0,0,-0.04,0
0.96,-0.04,3.361049337439684e-12,0,0,0,-0.04,0,0,-0.04,0
0.97,-0.04,3.328292097743156e-12,0,0,0,-0.04,0,0,-0.04,0
0.98,-0.04,3.296561328354933e-12,0,0,0,-0.04,0,0,-0.04,0
0.99,-0.04,3.265814622082929e-12,0,0,0,-0.04,0,0,-0.04,0
1,-0.04,3.236011553319236e-12,0,0,0,-0.04,0,0,-0.04,0
1.01,-0.04,3.20711358154195e-12,0,0,0,-0.04,0,0,-0.04,0
1.02,-0.04,3.179083959574911e-12,0,0,0,-0.04,0,0,-0.04,0
1.03,-0.04,3.151887646369875e-12,0,0,0,-0.04,0,0,-0.04,0
1.04,-0.04,3.12549122411108e-12,0,0,0,-0.04,0,0,-0.04,0
1.05,-0.04,3.099862819339837e-12,0,0,0,-0.04,0,0,-0.04,0
