"time","vc.v_stim","h_steady","m3_steady","h_total","m3","tau_h1","tau_h2","tau_m","vc.v"
0,-0.1,0.9998229680472852,1.029992560506933e-11,0,0,0.03034863806393893,0.1229499997526616,6.756412563456898e-07,-0.1
0,-0.1,0.9998229680472852,1.029992560506933e-11,0,0,0.03034863806393893,0.1229499997526616,6.756412563456898e-07,-0.1
0,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
1.381983189403704e-05,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
1.381983189403704e-05,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
0.01,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
0.02,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
0.03,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
0.04,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
0.05,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
0.06,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
0.07000000000000001,-0.095,0.999360830429933,8.429673548818506e-11,2.217110758230421e-07,0.9250921176209871,0.03034686640303357,0.1229499969868011,1.002228057777262e-06,-0.095
