"time","ca_jsr.c.c","ca_sub.c.c"
0,0.4273,6.397e-05
1e-05,0.4272317467388032,7.216039118844463e-05
2e-05,0.4271435649945687,8.274220029607461e-05
3e-05,0.4270253101349042,9.693278318693872e-05
4e-05,0.4268586311651796,0.0001169342591749284
5e-05,0.4266067378758843,0.0001471614533176502
6e-05,0.4261843649991333,0.0001978461975674395
7.000000000000001e-05,0.4253462840481883,0.0002984159097753399
8.000000000000001e-05,0.4231235034506563,0.0005651495764253743
9.000000000000001e-05,0.4153760251064815,0.001494846960111368
0.0001,0.3995882871529308,0.003389375478641742
0.00011,0.3816540453291682,0.005541484456717214
0.00012,0.3639471326218833,0.007666313941332202
0.00013,0.3469419476481989,0.009706936099510588
0.00014,0.3307438273181471,0.01165071050228804
0.00015,0.3153644293579473,0.01349623822254473
0.00016,0.3007849470224073,0.01524577606966099
0.00017,0.2869753394668876,0.01690292894492523
0.00018,0.2739014364677202,0.01847179727509991
0.00019,0.2615279334449569,0.01995661760969858
0.0002,0.2498197690791767,0.02136159730697201
0.00021,0.238742791307895,0.02269083461434072
0.00022,0.2282640824976955,0.0239482796477398
0.00023,0.2183521103929337,0.02513771627777493
0.00024,0.2089767855736943,0.02626275523476751
0.00025,0.2001094669812439,0.02732683344570044
0.00026,0.1917229380228963,0.02833321690163418
0.00027,0.183791365971315,0.02928500552979037
0.00028,0.1762902520892312,0.03018513917858557
0.00029,0.1691963769370292,0.03103640418072087
0.0003,0.1624877436023218,0.03184144016563271
0.00031,0.1561435205432384,0.03260274691829821
0.00032,0.1501439851311423,0.03332269115410895
0.00033,0.1444704685188122,0.034003513134689
0.00034,0.1391053022783001,0.03464733307135198
0.0003500000000000001,0.13403176701355,0.03525615729158658
0.00036,0.1292340430975027,0.03583188415060395
0.00037,0.1246971635754105,0.03637630968293976
0.00038,0.1204069692428813,0.0368911329930889
0.00039,0.1163500658703491,0.03737796138856882
0.0004,0.1125137835235936,0.03783831526145713
0.00041,0.1088861379172499,0.0382736327259704
0.00042,0.10545579372894,0.03868527402076821
0.00043,0.1022120297965578,0.03907452568527891
0.00044,0.09914470611902236,0.03944260451960916
0.00045,0.09624423258002514,0.03979066133769418
0.00046,0.09350153931485583,0.04011978452327859
0.00047,0.09090804864180665,0.04043100339814782
0.00048,0.0884556484818491,0.04072529141176683
0.00049,0.0861366671924365,0.0410035691612238
0.0005,0.08394384974415203,0.04126670725003225
0.00051,0.08187033517165516,0.04151552899401745
0.0005200000000000001,0.07990963523327252,0.04175081298216544
0.00053,0.07805561421647923,0.04197329549996524
0.00054,0.07630246982939104,0.0421836728224298
0.00055,0.0746447151217889,0.04238260338357291
0.0005600000000000001,0.0730771613779496,0.04257070982926957
0.00057,0.07159490193877877,0.04274858095859994
0.00058,0.07019329688901503,0.04291677356138483
0.00059,0.06886795858128988,0.04307581415529851
0.0005999999999999999,0.06761473793581931,0.04322620062990561
0.00061,0.06642971148584366,0.04336840380120835
0.00062,0.0653091691220123,0.0435028688823204
0.00063,0.06424960250222407,0.04363001687428592
0.0006400000000000001,0.06324769408887608,0.0437502458816097
0.00065,0.06230030678053369,0.04386393235645677
0.00066,0.06140447410599943,0.04397143227536407
0.00067,0.0605573909501167,0.04407308225214403
0.00068,0.05975640478299782,0.04416920059037713
0.0006900000000000001,0.05899900736510636,0.04426008827880205
0.0007000000000000001,0.05828282690275846,0.04434602993265547
0.0007100000000000001,0.05760562062946322,0.04442729468391116
0.00072,0.0569652677901958,0.04450413702316732
0.00073,0.0563597630066941,0.04457679759581083
0.00074,0.05578721000318923,0.04464550395492965
0.00075,0.05524581567301259,0.0447104712733199
0.0007599999999999999,0.054733884467992,0.04477190301675842
0.00077,0.0542498130902416,0.04482999158098785
0.00078,0.05379208547941498,0.04488491889324635
0.00079,0.05335926806113814,0.04493685698245549
0.0008,0.05295000526588597,0.04498596851695524
0.0008100000000000001,0.05256301528242718,0.04503240731409042
0.00082,0.05219708604586951,0.04507631882164534
0.00083,0.05185107144496329,0.04511784057296737
