"time","vc.v_stim","kir.i","i_max","vc.v"
102,0.002000000000000002,3.069957013511017e-12,1.663447861496969e-11,0.002000000000000002
103,0.003000000000000001,2.94929815494178e-12,1.663447861496969e-11,0.003000000000000001
104,0.004000000000000002,2.83291478978876e-12,1.663447861496969e-11,0.004000000000000002
105,0.005000000000000001,2.720688080182482e-12,1.663447861496969e-11,0.005000000000000001
106,0.006000000000000002,2.612499954279592e-12,1.663447861496969e-11,0.006000000000000002
107,0.007000000000000001,2.508233350703396e-12,1.663447861496969e-11,0.007000000000000001
108,0.008,2.407772435675583e-12,1.663447861496969e-11,0.008
109,0.009000000000000001,2.31100279493293e-12,1.663447861496969e-11,0.009000000000000001
110,0.01,2.217811602394951e-12,1.663447861496969e-11,0.01
111,0.011,2.128087767425941e-12,1.663447861496969e-11,0.011
112,0.012,2.041722062417663e-12,1.663447861496969e-11,0.012
113,0.013,1.958607232307225e-12,1.663447861496969e-11,0.013
114,0.014,1.878638087538239e-12,1.663447861496969e-11,0.014
115,0.01500000000000001,1.801711581872357e-12,1.663447861496969e-11,0.01500000000000001
116,0.01600000000000001,1.727726876362572e-12,1.663447861496969e-11,0.01600000000000001
117,0.01700000000000002,1.656585390708923e-12,1.663447861496969e-11,0.01700000000000002
118,0.01800000000000002,1.588190843131803e-12,1.663447861496969e-11,0.01800000000000002
119,0.01900000000000002,1.52244927981722e-12,1.663447861496969e-11,0.01900000000000002
120,0.02000000000000002,1.459269094912336e-12,1.663447861496969e-11,0.02000000000000002
121,0.02100000000000002,1.398561041978176e-12,1.663447861496969e-11,0.02100000000000002
122,0.02200000000000001,1.340238237739086e-12,1.663447861496969e-11,0.02200000000000001
123,0.02300000000000001,1.284216158905629e-12,1.663447861496969e-11,0.02300000000000001
124,0.02400000000000001,1.230412632788431e-12,1.663447861496969e-11,0.02400000000000001
125,0.02500000000000002,1.178747822365297e-12,1.663447861496969e-11,0.02500000000000002
126,0.02600000000000001,1.129144206412131e-12,1.663447861496969e-11,0.02600000000000001
127,0.02700000000000001,1.08152655525998e-12,1.663447861496969e-11,0.02700000000000001
128,0.02800000000000001,1.035821902695375e-12,1.663447861496969e-11,0.02800000000000001
129,0.02900000000000002,9.919595144791848e-13,1.663447861496969e-11,0.02900000000000002
130,0.03000000000000001,9.498708539199903e-13,1.663447861496969e-11,0.03000000000000001
131,0.03100000000000001,9.094895449016004e-13,1.663447861496969e-11,0.03100000000000001
132,0.03200000000000001,8.707513327304124e-13,1.663447861496969e-11,0.03200000000000001
133,0.03300000000000002,8.335940431368536e-13,1.663447861496969e-11,0.03300000000000002
134,0.03400000000000001,7.979575397359228e-13,1.663447861496969e-11,0.03400000000000001
135,0.03500000000000001,7.637836802247144e-13,1.663447861496969e-11,0.03500000000000001
136,0.03600000000000001,7.310162715697148e-13,1.663447861496969e-11,0.03600000000000001
137,0.03700000000000001,6.996010244133549e-13,1.663447861496969e-11,0.03700000000000001
138,0.03800000000000001,6.694855069078095e-13,1.663447861496969e-11,0.03800000000000001
139,0.03900000000000001,6.406190981640843e-13,1.663447861496969e-11,0.03900000000000001
140,0.04000000000000001,6.129529414860926e-13,1.663447861496969e-11,0.04000000000000001
141,0.04100000000000002,5.864398975423965e-13,1.663447861496969e-11,0.04100000000000002
142,0.04200000000000002,5.610344976126707e-13,1.663447861496969e-11,0.04200000000000002
143,0.04300000000000001,5.366928970315188e-13,1.663447861496969e-11,0.04300000000000001
144,0.04400000000000001,5.133728289389736e-13,1.663447861496969e-11,0.04400000000000001
145,0.04500000000000001,4.910335584348381e-13,1.663447861496969e-11,0.04500000000000001
146,0.04600000000000001,4.696358372227662e-13,1.663447861496969e-11,0.04600000000000001
147,0.04700000000000001,4.491418588197179e-13,1.663447861496969e-11,0.04700000000000001
148,0.04800000000000001,4.295152143969589e-13,1.663447861496969e-11,0.04800000000000001
149,0.04900000000000002,4.107208493101468e-13,1.663447861496969e-11,0.04900000000000002
150,0.05000000000000002,3.927250203681148e-13,1.663447861496969e-11,0.05000000000000002
150,0.05000000000000002,3.927250203681148e-13,1.663447861496969e-11,0.05000000000000002
