"time","l2.v","act_steady","act_tau","inact_steady","inact_tau_fast","inact_tau_slow","v","vc.v"
54,-0.06600000000000002,0.01122804807327635,0.0006470906895017526,0.9948389350634553,0.1274205064924946,4.092007994669332,-0.06600000000000002,-0.06600000000000002
55,-0.06500000000000002,0.0119255702805919,0.000653595337417115,0.9939283771016828,0.1228387493519017,4.1,-0.06500000000000002,-0.06500000000000002
56,-0.06400000000000002,0.01266586972147195,0.0006609256940062172,0.9928583241874213,0.1184357216378197,4.092007994669332,-0.06400000000000002,-0.06400000000000002
57,-0.06300000000000001,0.01345149884216633,0.0006691856250809525,0.991601280435962,0.114204780353801,4.068127659348242,-0.06300000000000001,-0.06300000000000001
58,-0.06200000000000001,0.01428515332845325,0.0006784916903282149,0.9901251784400129,0.1101395035384502,4.028644129433203,-0.06200000000000001,-0.06200000000000001
59,-0.06100000000000001,0.01516967898102163,0.0006889745489020704,0.9883926835546953,0.1062336849827849,3.97402632831679,-0.06100000000000001,-0.06100000000000001
60,-0.06000000000000001,0.01610807876724653,0.0007007804622104691,0.9863604171270086,0.1024813288957723,3.904917698002857,-0.06000000000000001,-0.06000000000000001
61,-0.05900000000000001,0.01710352003116438,0.0007140728750743588,0.9839780992822406,0.09887664453799588,3.822123583244823,-0.05900000000000001,-0.05900000000000001
62,-0.05800000000000001,0.01815934183924445,0.0007290340424345424,0.9811876169481304,0.09541404084154695,3.726595615015684,-0.05800000000000001,-0.05800000000000001
63,-0.057,0.01927906243481157,0.0007458666488788534,0.9779220301953685,0.09208812103250408,3.619413516578575,-0.057,-0.057
64,-0.05599999999999999,0.02046638676866091,0.0007647953403898433,0.9741045403954971,0.08889367727073703,3.501764818160931,-0.05599999999999999,-0.05599999999999999
65,-0.05499999999999999,0.02172521406747118,0.0007860680492212173,0.9696474579318209,0.08582568532026207,3.374923012311926,-0.05499999999999999,-0.05499999999999999
66,-0.05399999999999999,0.02305964539502429,0.0008099569404013173,0.9644512260660674,0.0828792992619669,3.240224710207317,-0.05399999999999999,-0.05399999999999999
67,-0.05299999999999999,0.02447399115393369,0.0008367587380940642,0.9584035817974051,0.08004984625921831,3.099046368956164,-0.05299999999999999,-0.05299999999999999
68,-0.05199999999999998,0.02597277846752915,0.0008667940975087681,0.951378964589088,0.07733282138565167,2.952781151593126,-0.05199999999999998,-0.05199999999999998
69,-0.05099999999999998,0.02756075837270544,0.0009004055688309483,0.943238319488905,0.07472388252332389,2.802816455842501,-0.05099999999999998,-0.05099999999999998
70,-0.04999999999999998,0.02924291274488592,0.000937953550364107,0.9338294811184861,0.07221884533837432,2.650512606487089,-0.04999999999999998,-0.04999999999999998
71,-0.04899999999999997,0.03102446086575566,0.0009798094482941261,0.9229883661560657,0.06981367834038751,2.497183151382149,-0.04899999999999997,-0.04899999999999997
72,-0.04799999999999997,0.03291086553307158,0.001026345056045994,0.9105412386101299,0.06750449803077128,2.344077135368678,-0.04799999999999997,-0.04799999999999997
73,-0.04699999999999997,0.03490783859965897,0.001077916954501652,0.896308335311953,0.0652875641446624,2.192363652409998,-0.04699999999999997,-0.04699999999999997
