"time","a1.vc.v_stim","a2.vc.v_stim","a3.vc.v_stim","b1.vc.v_stim","b2.vc.v_stim","b3.vc.v_stim","c1.vc.v_stim","c2.vc.v_stim","c3.vc.v_stim","d1.vc.v_stim","d2.vc.v_stim","d3.vc.v_stim","a1.naca.i_ion","a2.naca.i_ion","a3.naca.i_ion","b1.naca.i_ion","b2.naca.i_ion","b3.naca.i_ion","c1.naca.i_ion","c2.naca.i_ion","c3.naca.i_ion","d1.naca.i_ion","d2.naca.i_ion","d3.naca.i_ion","a1.naca.i","a1.vc.v","a2.naca.i","a2.vc.v","a3.naca.i","a3.vc.v","b1.naca.i","b1.vc.v","b2.naca.i","b2.vc.v","b3.naca.i","b3.vc.v","c1.naca.i","c1.vc.v","c2.naca.i","c2.vc.v","c3.naca.i","c3.vc.v","d1.naca.i","d1.vc.v","d2.naca.i","d2.vc.v","d3.naca.i","d3.vc.v"
10,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,2.200825145465576e-11,6.631784621982616e-12,6.304364253049324e-13,1.231335257744501e-11,8.519242683573226e-12,1.446008131347612e-12,-4.790054236539418e-11,-2.549845624643791e-11,-8.236583538572898e-12,-1.399941960306673e-10,-1.185823092932986e-10,-8.066215190065656e-11,2.200825145465576e-11,-0.13,6.631784621982616e-12,-0.13,6.304364253049324e-13,-0.13,1.231335257744501e-11,-0.13,8.519242683573226e-12,-0.13,1.446008131347612e-12,-0.13,-4.790054236539418e-11,-0.13,-2.549845624643791e-11,-0.13,-8.236583538572898e-12,-0.13,-1.399941960306673e-10,-0.13,-1.185823092932986e-10,-0.13,-8.066215190065656e-11,-0.13
11,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,2.229728969596792e-11,6.747393573487651e-12,6.424906819674739e-13,1.244879461845895e-11,8.630467154891306e-12,1.470461791971738e-12,-4.767764051129425e-11,-2.534118582654786e-11,-8.173064214054686e-12,-1.394042270279571e-10,-1.18027610940338e-10,-8.023550906262508e-11,2.229728969596792e-11,-0.129,6.747393573487651e-12,-0.129,6.424906819674739e-13,-0.129,1.244879461845895e-11,-0.129,8.630467154891306e-12,-0.129,1.470461791971738e-12,-0.129,-4.767764051129425e-11,-0.129,-2.534118582654786e-11,-0.129,-8.173064214054686e-12,-0.129,-1.394042270279571e-10,-0.129,-1.18027610940338e-10,-0.129,-8.023550906262508e-11,-0.129
12,-0.128,-0.128,-0.128,-0.128,-0.128,-0.128,-0.128,-0.128,-0.128,-0.128,-0.128,-0.128,2.258944741515494e-11,6.864840565947482e-12,6.547659940024389e-13,1.25852296915116e-11,8.742775470599581e-12,1.495291811572375e-12,-4.745515277365756e-11,-2.518412933039986e-11,-8.109652233430504e-12,-1.388133743810462e-10,-1.17472510915362e-10,-7.980906402763039e-11,2.258944741515494e-11,-0.128,6.864840565947482e-12,-0.128,6.547659940024389e-13,-0.128,1.25852296915116e-11,-0.128,8.742775470599581e-12,-0.128,1.495291811572375e-12,-0.128,-4.745515277365756e-11,-0.128,-2.518412933039986e-11,-0.128,-8.109652233430504e-12,-0.128,-1.388133743810462e-10,-0.128,-1.17472510915362e-10,-0.128,-7.980906402763039e-11,-0.128
13,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,2.288474255176089e-11,6.984150091430713e-12,6.672661742328279e-13,1.272265574489502e-11,8.856170436609654e-12,1.520503089032663e-12,-4.723308113808361e-11,-2.502728445191822e-11,-8.046346870228255e-12,-1.382216556113631e-10,-1.169170218821099e-10,-7.938281845157032e-11,2.288474255176089e-11,-0.127,6.984150091430713e-12,-0.127,6.672661742328279e-13,-0.127,1.272265574489502e-11,-0.127,8.856170436609654e-12,-0.127,1.520503089032663e-12,-0.127,-4.723308113808361e-11,-0.127,-2.502728445191822e-11,-0.127,-8.046346870228255e-12,-0.127,-1.382216556113631e-10,-0.127,-1.169170218821099e-10,-0.127,-7.938281845157032e-11,-0.127
14,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,2.318319277584456e-11,7.105346839326746e-12,6.799950951320577e-13,1.2861070538525e-11,8.970654695652412e-12,1.546100565455733e-12,-4.70114275751431e-11,-2.487064889138094e-11,-7.983147441234426e-12,-1.376290884190288e-10,-1.16361156592331e-10,-7.895677396240105e-11,2.318319277584456e-11,-0.126,7.105346839326746e-12,-0.126,6.799950951320577e-13,-0.126,1.2861070538525e-11,-0.126,8.970654695652412e-12,-0.126,1.546100565455733e-12,-0.126,-4.70114275751431e-11,-0.126,-2.487064889138094e-11,-0.126,-7.983147441234426e-12,-0.126,-1.376290884190288e-10,-0.126,-1.16361156592331e-10,-0.126,-7.895677396240105e-11,-0.126
15,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,2.348481547796679e-11,7.228455694140059e-12,6.929566896015218e-13,1.300047164266892e-11,9.086230724183856e-12,1.572089223982817e-12,-4.679019404043655e-11,-2.471422035676254e-11,-7.920053307814199e-12,-1.370356906820223e-10,-1.158049278859416e-10,-7.853093216112144e-11,2.348481547796679e-11,-0.125,7.228455694140059e-12,-0.125,6.929566896015218e-13,-0.125,1.300047164266892e-11,-0.125,9.086230724183856e-12,-0.125,1.572089223982817e-12,-0.125,-4.679019404043655e-11,-0.125,-2.471422035676254e-11,-0.125,-7.920053307814199e-12,-0.125,-1.370356906820223e-10,-0.125,-1.158049278859416e-10,-0.125,-7.853093216112144e-11,-0.125
16,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,2.378962775909415e-11,7.353501733141577e-12,7.06154951755375e-13,1.314085643674369e-11,9.202900829319146e-12,1.598474089593814e-12,-4.656938247465509e-11,-2.455799656512387e-11,-7.857063877252678e-12,-1.364414804553015e-10,-1.152483486911837e-10,-7.810529462280495e-11,2.378962775909415e-11,-0.124,7.353501733141577e-12,-0.124,7.06154951755375e-13,-0.124,1.314085643674369e-11,-0.124,9.202900829319146e-12,-0.124,1.598474089593814e-12,-0.124,-4.656938247465509e-11,-0.124,-2.455799656512387e-11,-0.124,-7.857063877252678e-12,-0.124,-1.364414804553015e-10,-0.124,-1.152483486911837e-10,-0.124,-7.810529462280495e-11,-0.124
17,-0.123,-0.123,-0.123,-0.123,-0.123,-0.123,-0.123,-0.123,-0.123,-0.123,-0.123,-0.123,2.409764642042375e-11,7.480510223874119e-12,7.195939377102487e-13,1.328222210818555e-11,9.320667145797805e-12,1.625260228889515e-12,-4.634899480364324e-11,-2.44019752440499e-11,-7.794178604116655e-12,-1.358464759698756e-10,-1.146914320247847e-10,-7.767986289768173e-11,2.409764642042375e-11,-0.123,7.480510223874119e-12,-0.123,7.195939377102487e-13,-0.123,1.328222210818555e-11,-0.123,9.320667145797805e-12,-0.123,1.625260228889515e-12,-0.123,-4.634899480364324e-11,-0.123,-2.44019752440499e-11,-0.123,-7.794178604116655e-12,-0.123,-1.358464759698756e-10,-0.123,-1.146914320247847e-10,-0.123,-7.767986289768173e-11,-0.123
18,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,2.440888795313346e-11,7.609506621509108e-12,7.332777663814002e-13,1.342456565139348e-11,9.439531632982295e-12,1.652452749855545e-12,-4.612903293846366e-11,-2.424615413313687e-11,-7.73139699163634e-12,-1.352506956318302e-10,-1.141341909921189e-10,-7.725463851227085e-11,2.440888795313346e-11,-0.122,7.609506621509108e-12,-0.122,7.332777663814002e-13,-0.122,1.342456565139348e-11,-0.122,9.439531632982295e-12,-0.122,1.652452749855545e-12,-0.122,-4.612903293846366e-11,-0.122,-2.424615413313687e-11,-0.122,-7.73139699163634e-12,-0.122,-1.352506956318302e-10,-0.122,-1.141341909921189e-10,-0.122,-7.725463851227085e-11,-0.122
19,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,-0.121,2.472336852806214e-11,7.740516566050706e-12,7.472106202851381e-13,1.356788386674748e-11,9.559496071892762e-12,1.680056801607238e-12,-4.590949877546405e-11,-2.409053098553018e-11,-7.668718593106407e-12,-1.346541580213048e-10,-1.135766387873704e-10,-7.682962297056563e-11,2.472336852806214e-11,-0.121,7.740516566050706e-12,-0.121,7.472106202851381e-13,-0.121,1.356788386674748e-11,-0.121,9.559496071892762e-12,-0.121,1.680056801607238e-12,-0.121,-4.590949877546405e-11,-0.121,-2.409053098553018e-11,-0.121,-7.668718593106407e-12,-0.121,-1.346541580213048e-10,-0.121,-1.135766387873704e-10,-0.121,-7.682962297056563e-11,-0.121
