"time","a1.vc.v_stim","a2.vc.v_stim","a3.vc.v_stim","b1.vc.v_stim","b2.vc.v_stim","b3.vc.v_stim","c1.vc.v_stim","c2.vc.v_stim","c3.vc.v_stim","d1.vc.v_stim","d2.vc.v_stim","d3.vc.v_stim","a1.naca.i_ion","a2.naca.i_ion","a3.naca.i_ion","b1.naca.i_ion","b2.naca.i_ion","b3.naca.i_ion","c1.naca.i_ion","c2.naca.i_ion","c3.naca.i_ion","d1.naca.i_ion","d2.naca.i_ion","d3.naca.i_ion","a1.naca.i","a1.vc.v","a2.naca.i","a2.vc.v","a3.naca.i","a3.vc.v","b1.naca.i","b1.vc.v","b2.naca.i","b2.vc.v","b3.naca.i","b3.vc.v","c1.naca.i","c1.vc.v","c2.naca.i","c2.vc.v","c3.naca.i","c3.vc.v","d1.naca.i","d1.vc.v","d2.naca.i","d2.vc.v","d3.naca.i","d3.vc.v"
71,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,-0.06900000000000001,4.579144725499132e-11,1.800961278343352e-11,1.943552720282614e-12,2.221733901465721e-11,1.728749490767508e-11,3.822526197104839e-12,-3.512543346953174e-11,-1.622789915519606e-11,-4.563312164907398e-12,-1.031051624382438e-10,-8.451326339639855e-11,-5.505316369364955e-11,4.579144725499132e-11,-0.06900000000000001,1.800961278343352e-11,-0.06900000000000001,1.943552720282614e-12,-0.06900000000000001,2.221733901465721e-11,-0.06900000000000001,1.728749490767508e-11,-0.06900000000000001,3.822526197104839e-12,-0.06900000000000001,-3.512543346953174e-11,-0.06900000000000001,-1.622789915519606e-11,-0.06900000000000001,-4.563312164907398e-12,-0.06900000000000001,-1.031051624382438e-10,-0.06900000000000001,-8.451326339639855e-11,-0.06900000000000001,-5.505316369364955e-11,-0.06900000000000001
72,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,-0.068,4.628849902584747e-11,1.828709787349211e-11,1.978651927712443e-12,2.240264686586447e-11,1.74627928755373e-11,3.880200408070752e-12,-3.493092686501309e-11,-1.608073434016563e-11,-4.507314504821602e-12,-1.024990554014381e-10,-8.396048204531057e-11,-5.464150282989245e-11,4.628849902584747e-11,-0.068,1.828709787349211e-11,-0.068,1.978651927712443e-12,-0.068,2.240264686586447e-11,-0.068,1.74627928755373e-11,-0.068,3.880200408070752e-12,-0.068,-3.493092686501309e-11,-0.068,-1.608073434016563e-11,-0.068,-4.507314504821602e-12,-0.068,-1.024990554014381e-10,-0.068,-8.396048204531057e-11,-0.068,-5.464150282989245e-11,-0.068
73,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,-0.067,4.678890280173518e-11,1.856810491528044e-11,2.014344417312615e-12,2.258847581487462e-11,1.763896584995223e-11,3.93860900520995e-12,-3.473693101499065e-11,-1.593373419279987e-11,-4.451509324567053e-12,-1.018934043562003e-10,-8.340823733268092e-11,-5.42301602112915e-11,4.678890280173518e-11,-0.067,1.856810491528044e-11,-0.067,2.014344417312615e-12,-0.067,2.258847581487462e-11,-0.067,1.763896584995223e-11,-0.067,3.93860900520995e-12,-0.067,-3.473693101499065e-11,-0.067,-1.593373419279987e-11,-0.067,-4.451509324567053e-12,-0.067,-1.018934043562003e-10,-0.067,-8.340823733268092e-11,-0.067,-5.42301602112915e-11,-0.067
74,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,4.729264200957143e-11,1.88526598153037e-11,2.050639215373975e-12,2.277481306898299e-11,1.781600334760784e-11,3.997758296974411e-12,-3.454344715422031e-11,-1.578690150147215e-11,-4.395900872743146e-12,-1.012882343790646e-10,-8.285654746487344e-11,-5.381914022639552e-11,4.729264200957143e-11,-0.066,1.88526598153037e-11,-0.066,2.050639215373975e-12,-0.066,2.277481306898299e-11,-0.066,1.781600334760784e-11,-0.066,3.997758296974411e-12,-0.066,-3.454344715422031e-11,-0.066,-1.578690150147215e-11,-0.066,-4.395900872743146e-12,-0.066,-1.012882343790646e-10,-0.066,-8.285654746487344e-11,-0.066,-5.381914022639552e-11,-0.066
75,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,4.779969928212022e-11,1.914078819106375e-11,2.087545460952838e-12,2.296164572822846e-11,1.799389467159143e-11,4.057654577631766e-12,-3.435047650861496e-11,-1.564023925977976e-11,-4.340493490445191e-12,-1.006835705815531e-10,-8.230543073488409e-11,-5.340844744788819e-11,4.779969928212022e-11,-0.065,1.914078819106375e-11,-0.065,2.087545460952838e-12,-0.065,2.296164572822846e-11,-0.065,1.799389467159143e-11,-0.065,4.057654577631766e-12,-0.065,-3.435047650861496e-11,-0.065,-1.564023925977976e-11,-0.065,-4.340493490445191e-12,-0.065,-1.006835705815531e-10,-0.065,-8.230543073488409e-11,-0.065,-5.340844744788819e-11,-0.065
76,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,4.831005645599989e-11,1.943251535657168e-11,2.125072406669136e-12,2.314896078924831e-11,1.81726289139848e-11,4.118304125415681e-12,-3.415802029536279e-11,-1.549375067137243e-11,-4.285291609361268e-12,-1.000794381063207e-10,-8.175490552170838e-11,-5.299808663975946e-11,4.831005645599989e-11,-0.064,1.943251535657168e-11,-0.064,2.125072406669136e-12,-0.064,2.314896078924831e-11,-0.064,1.81726289139848e-11,-0.064,4.118304125415681e-12,-0.064,-3.415802029536279e-11,-0.064,-1.549375067137243e-11,-0.064,-4.285291609361268e-12,-0.064,-1.000794381063207e-10,-0.064,-8.175490552170838e-11,-0.064,-5.299808663975946e-11,-0.064
77,-0.063,-0.063,-0.063,-0.063,-0.063,-0.063,-0.063,-0.063,-0.063,-0.063,-0.063,-0.063,4.882369457007726e-11,1.972786630769259e-11,2.163229419494141e-12,2.33367451491839e-11,1.835219495857896e-11,4.17971320064545e-12,-3.396607972304494e-11,-1.534743915474851e-11,-4.230299749692703e-12,-9.947586212326153e-11,-8.120499028966838e-11,-5.258806276461402e-11,4.882369457007726e-11,-0.063,1.972786630769259e-11,-0.063,2.163229419494141e-12,-0.063,2.33367451491839e-11,-0.063,1.835219495857896e-11,-0.063,4.17971320064545e-12,-0.063,-3.396607972304494e-11,-0.063,-1.534743915474851e-11,-0.063,-4.230299749692703e-12,-0.063,-9.947586212326153e-11,-0.063,-8.120499028966838e-11,-0.063,-5.258806276461402e-11,-0.063
78,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,4.934059386425395e-11,2.002686570732778e-11,2.202025981526802e-12,2.352498560963438e-11,1.853258148370743e-11,4.241888043815274e-12,-3.377465599175271e-11,-1.520130834800924e-11,-4.175522517895367e-12,-9.887286782557982e-11,-8.06557035876988e-11,-5.217838099111471e-11,4.934059386425395e-11,-0.062,2.002686570732778e-11,-0.062,2.202025981526802e-12,-0.062,2.352498560963438e-11,-0.062,1.853258148370743e-11,-0.062,4.241888043815274e-12,-0.062,-3.377465599175271e-11,-0.062,-1.520130834800924e-11,-0.062,-4.175522517895367e-12,-0.062,-9.887286782557982e-11,-0.062,-8.06557035876988e-11,-0.062,-5.217838099111471e-11,-0.062
79,-0.061,-0.061,-0.061,-0.061,-0.061,-0.061,-0.061,-0.061,-0.061,-0.061,-0.061,-0.061,4.986073377865116e-11,2.032953787044197e-11,2.241471690757047e-12,2.371366888065596e-11,1.871377696519637e-11,4.304834873653188e-12,-3.358375029320375e-11,-1.505536211356103e-11,-4.120964604239232e-12,-9.827048042582452e-11,-8.010706404859028e-11,-5.176904670155891e-11,4.986073377865116e-11,-0.061,2.032953787044197e-11,-0.061,2.241471690757047e-12,-0.061,2.371366888065596e-11,-0.061,1.871377696519637e-11,-0.061,4.304834873653188e-12,-0.061,-3.358375029320375e-11,-0.061,-1.505536211356103e-11,-0.061,-4.120964604239232e-12,-0.061,-9.827048042582452e-11,-0.061,-8.010706404859028e-11,-0.061,-5.176904670155891e-11,-0.061
80,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,5.038409295319882e-11,2.063590674894217e-11,2.281576261817048e-12,2.390278158480405e-11,1.889576967943019e-11,4.368559885150347e-12,-3.339336381085787e-11,-1.490960454275516e-11,-4.066630780184075e-12,-9.766872515188989e-11,-7.955909038818874e-11,-5.136006549958495e-11,5.038409295319882e-11,-0.06,2.063590674894217e-11,-0.06,2.281576261817048e-12,-0.06,2.390278158480405e-11,-0.06,1.889576967943019e-11,-0.06,4.368559885150347e-12,-0.06,-3.339336381085787e-11,-0.06,-1.490960454275516e-11,-0.06,-4.066630780184075e-12,-0.06,-9.766872515188989e-11,-0.06,-7.955909038818874e-11,-0.06,-5.136006549958495e-11,-0.06
81,-0.059,-0.059,-0.059,-0.059,-0.059,-0.059,-0.059,-0.059,-0.059,-0.059,-0.059,-0.059,5.091064922763355e-11,2.094599591641523e-11,2.322349526719367e-12,2.409231026121564e-11,1.90785477065309e-11,4.43306924756089e-12,-3.320349772003173e-11,-1.476403996045402e-11,-4.012525895569534e-12,-9.706762724298299e-11,-7.901180140454969e-11,-5.095144321800607e-11,5.091064922763355e-11,-0.059,2.094599591641523e-11,-0.059,2.322349526719367e-12,-0.059,2.409231026121564e-11,-0.059,1.90785477065309e-11,-0.059,4.43306924756089e-12,-0.059,-3.320349772003173e-11,-0.059,-1.476403996045402e-11,-0.059,-4.012525895569534e-12,-0.059,-9.706762724298299e-11,-0.059,-7.901180140454969e-11,-0.059,-5.095144321800607e-11,-0.059
82,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,5.144037964191122e-11,2.125982855273202e-11,2.363801435580115e-12,2.428224136972912e-11,1.926209893364942e-11,4.498369102372623e-12,-3.301415318801285e-11,-1.461867292951217e-11,-3.958654875618141e-12,-9.646721194555829e-11,-7.846521597704647e-11,-5.054318592676797e-11,5.144037964191122e-11,-0.058,2.125982855273202e-11,-0.058,2.363801435580115e-12,-0.058,2.428224136972912e-11,-0.058,1.926209893364942e-11,-0.058,4.498369102372623e-12,-0.058,-3.301415318801285e-11,-0.058,-1.461867292951217e-11,-0.058,-3.958654875618141e-12,-0.058,-9.646721194555829e-11,-0.058,-7.846521597704647e-11,-0.058,-5.054318592676797e-11,-0.058
83,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,-0.057,5.197326043703817e-11,2.157742742852627e-11,2.405942057328829e-12,2.447256129503897e-11,1.944641105836708e-11,4.564465561249311e-12,-3.282533137417249e-11,-1.447350825516042e-11,-3.905022717750384e-12,-9.586750450922188e-11,-7.791935306543021e-11,-5.013529994102662e-11,5.197326043703817e-11,-0.057,2.157742742852627e-11,-0.057,2.405942057328829e-12,-0.057,2.447256129503897e-11,-0.057,1.944641105836708e-11,-0.057,4.564465561249311e-12,-0.057,-3.282533137417249e-11,-0.057,-1.447350825516042e-11,-0.057,-3.905022717750384e-12,-0.057,-9.586750450922188e-11,-0.057,-7.791935306543021e-11,-0.057,-5.013529994102662e-11,-0.057
84,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,-0.05599999999999999,5.250926705632568e-11,2.189881488955599e-11,2.448781580401573e-12,2.466325635088235e-11,1.963147159220499e-11,4.631364703944551e-12,-3.263703343007769e-11,-1.432855098928026e-11,-3.851634488211311e-12,-9.526853018260514e-11,-7.737423170884164e-11,-4.972779182934183e-11,5.250926705632568e-11,-0.05599999999999999,2.189881488955599e-11,-0.05599999999999999,2.448781580401573e-12,-0.05599999999999999,2.466325635088235e-11,-0.05599999999999999,1.963147159220499e-11,-0.05599999999999999,4.631364703944551e-12,-0.05599999999999999,-3.263703343007769e-11,-0.05599999999999999,-1.432855098928026e-11,-0.05599999999999999,-3.851634488211311e-12,-0.05599999999999999,-9.526853018260514e-11,-0.05599999999999999,-7.737423170884164e-11,-0.05599999999999999,-4.972779182934183e-11,-0.05599999999999999
85,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,-0.05499999999999999,5.304837414707124e-11,2.222401284095662e-11,2.492330313419039e-12,2.485431278425499e-11,1.981726786423965e-11,4.699072576188297e-12,-3.24492604996022e-11,-1.418380643455584e-11,-3.798495318508637e-12,-9.467031420921014e-11,-7.682987102477211e-11,-4.932066842198189e-11,5.304837414707124e-11,-0.05499999999999999,2.222401284095662e-11,-0.05499999999999999,2.492330313419039e-12,-0.05499999999999999,2.485431278425499e-11,-0.05499999999999999,1.981726786423965e-11,-0.05499999999999999,4.699072576188297e-12,-0.05499999999999999,-3.24492604996022e-11,-0.05499999999999999,-1.418380643455584e-11,-0.05499999999999999,-3.798495318508637e-12,-0.05499999999999999,-9.467031420921014e-11,-0.05499999999999999,-7.682987102477211e-11,-0.05499999999999999,-4.932066842198189e-11,-0.05499999999999999
86,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,5.359055556267074e-11,2.255304273139482e-11,2.53659868584825e-12,2.50457167796534e-11,2.000378702482202e-11,4.767595187546014e-12,-3.22620137190361e-11,-1.403928014849001e-11,-3.745610401662817e-12,-9.407288182322704e-11,-7.62862902079735e-11,-4.891393681933405e-11,5.359055556267074e-11,-0.054,2.255304273139482e-11,-0.054,2.53659868584825e-12,-0.054,2.50457167796534e-11,-0.054,2.000378702482202e-11,-0.054,4.767595187546014e-12,-0.054,-3.22620137190361e-11,-0.054,-1.403928014849001e-11,-0.054,-3.745610401662817e-12,-0.054,-9.407288182322704e-11,-0.054,-7.62862902079735e-11,-0.054,-4.891393681933405e-11,-0.054
87,-0.053,-0.053,-0.053,-0.053,-0.053,-0.053,-0.053,-0.053,-0.053,-0.053,-0.053,-0.053,5.413578436516394e-11,2.288592553713159e-11,2.581597248645456e-12,2.523745446334078e-11,2.019101604939815e-11,4.836938509251338e-12,-3.207529421719451e-11,-1.389497794727054e-11,-3.692984988270094e-12,-9.347625824532574e-11,-7.574350852931539e-11,-4.85076044004151e-11,5.413578436516394e-11,-0.053,2.288592553713159e-11,-0.053,2.581597248645456e-12,-0.053,2.523745446334078e-11,-0.053,2.019101604939815e-11,-0.053,4.836938509251338e-12,-0.053,-3.207529421719451e-11,-0.053,-1.389497794727054e-11,-0.053,-3.692984988270094e-12,-0.053,-9.347625824532574e-11,-0.053,-7.574350852931539e-11,-0.053,-4.85076044004151e-11,-0.053
88,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,5.468403282821688e-11,2.322268174600617e-11,2.627336674882741e-12,2.542951190763348e-11,2.037894174242878e-11,4.907108472012766e-12,-3.188910311552475e-11,-1.375090590947221e-11,-3.640624382379984e-12,-9.288046867842187e-11,-7.520154533458807e-11,-4.81016788314758e-11,5.468403282821688e-11,-0.052,2.322268174600617e-11,-0.052,2.627336674882741e-12,-0.052,2.542951190763348e-11,-0.052,2.037894174242878e-11,-0.052,4.907108472012766e-12,-0.052,-3.188910311552475e-11,-0.052,-1.375090590947221e-11,-0.052,-3.640624382379984e-12,-0.052,-9.288046867842187e-11,-0.052,-7.520154533458807e-11,-0.052,-4.81016788314758e-11,-0.052
89,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051,5.523527244054287e-11,2.356333134134833e-11,2.673827760354268e-12,2.562187513520547e-11,2.056755074140514e-11,4.978110963794886e-12,-3.170344152821235e-11,-1.360707037958012e-11,-3.588533937189329e-12,-9.22855383034198e-11,-7.46604200432506e-11,-4.769616807469229e-11,5.523527244054287e-11,-0.051,2.356333134134833e-11,-0.051,2.673827760354268e-12,-0.051,2.562187513520547e-11,-0.051,2.056755074140514e-11,-0.051,4.978110963794886e-12,-0.051,-3.170344152821235e-11,-0.051,-1.360707037958012e-11,-0.051,-3.588533937189329e-12,-0.051,-9.22855383034198e-11,-0.051,-7.46604200432506e-11,-0.051,-4.769616807469229e-11,-0.051
90,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,5.578947390976463e-11,2.390789378583184e-11,2.721081424164443e-12,2.581453012340782e-11,2.075682952095886e-11,5.049951827574933e-12,-3.151831056228558e-11,-1.346347797131893e-11,-3.536719050555474e-12,-9.169149227493247e-11,-7.412015214712213e-11,-4.729108039693711e-11,5.578947390976463e-11,-0.05,2.390789378583184e-11,-0.05,2.721081424164443e-12,-0.05,2.581453012340782e-11,-0.05,2.075682952095886e-11,-0.05,5.049951827574933e-12,-0.05,-3.151831056228558e-11,-0.05,-1.346347797131893e-11,-0.05,-3.536719050555474e-12,-0.05,-9.169149227493247e-11,-0.05,-7.412015214712213e-11,-0.05,-4.729108039693711e-11,-0.05
91,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,5.634660716671846e-11,2.42563880052782e-11,2.769108709294345e-12,2.600746280860024e-11,2.09467643970626e-11,5.122636859075277e-12,-3.133371131771853e-11,-1.332013557077261e-11,-3.485185160331855e-12,-9.109835571698076e-11,-7.358076120901555e-11,-4.688642437862168e-11,5.634660716671846e-11,-0.049,2.42563880052782e-11,-0.049,2.769108709294345e-12,-0.049,2.600746280860024e-11,-0.049,2.09467643970626e-11,-0.049,5.122636859075277e-12,-0.049,-3.133371131771853e-11,-0.049,-1.332013557077261e-11,-0.049,-3.485185160331855e-12,-0.049,-9.109835571698076e-11,-0.049,-7.358076120901555e-11,-0.049,-4.688642437862168e-11,-0.049
92,-0.048,-0.048,-0.048,-0.048,-0.048,-0.048,-0.048,-0.048,-0.048,-0.048,-0.048,-0.048,5.690664137020247e-11,2.460883237242269e-11,2.817920783148359e-12,2.620065909049195e-11,2.113734153131907e-11,5.196171804472506e-12,-3.114964488753266e-11,-1.317705033927891e-11,-3.433937739529756e-12,-9.050615371867306e-11,-7.304226686131227e-11,-4.648220892260179e-11,5.690664137020247e-11,-0.048,2.460883237242269e-11,-0.048,2.817920783148359e-12,-0.048,2.620065909049195e-11,-0.048,2.113734153131907e-11,-0.048,5.196171804472506e-12,-0.048,-3.114964488753266e-11,-0.048,-1.317705033927891e-11,-0.048,-3.433937739529756e-12,-0.048,-9.050615371867306e-11,-0.048,-7.304226686131227e-11,-0.048,-4.648220892260179e-11,-0.048
93,-0.047,-0.047,-0.047,-0.047,-0.047,-0.047,-0.047,-0.047,-0.047,-0.047,-0.047,-0.047,5.746954491216894e-11,2.496524469065343e-11,2.86752893807805e-12,2.639410483648898e-11,2.132854693533526e-11,5.270562358084052e-12,-3.096611235789678e-11,-1.303422971608199e-11,-3.382982291310649e-12,-8.991491132986639e-11,-7.250468880447665e-11,-4.607844326313668e-11,5.746954491216894e-11,-0.047,2.496524469065343e-11,-0.047,2.86752893807805e-12,-0.047,2.639410483648898e-11,-0.047,2.132854693533526e-11,-0.047,5.270562358084052e-12,-0.047,-3.096611235789678e-11,-0.047,-1.303422971608199e-11,-0.047,-3.382982291310649e-12,-0.047,-8.991491132986639e-11,-0.047,-7.250468880447665e-11,-0.047,-4.607844326313668e-11,-0.047
94,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,5.803528542336115e-11,2.532564217773596e-11,2.917944591884021e-12,2.658778588604493e-11,2.152036647517903e-11,5.345814160032874e-12,-3.078311480822527e-11,-1.289168142072724e-11,-3.332324343814186e-12,-8.93246535568108e-11,-7.196804680550908e-11,-4.567513697489173e-11,5.803528542336115e-11,-0.046,2.532564217773596e-11,-0.046,2.917944591884021e-12,-0.046,2.658778588604493e-11,-0.046,2.152036647517903e-11,-0.046,5.345814160032874e-12,-0.046,-3.078311480822527e-11,-0.046,-1.289168142072724e-11,-0.046,-3.332324343814186e-12,-0.046,-8.93246535568108e-11,-0.046,-7.196804680550908e-11,-0.046,-4.567513697489173e-11,-0.046
95,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,5.860382977939496e-11,2.569004144953453e-11,2.96917928829428e-12,2.678168805501249e-11,2.171278587591471e-11,5.42193279389119e-12,-3.060065331127474e-11,-1.274941345518104e-11,-3.281969444827454e-12,-8.87354053577784e-11,-7.143236069633656e-11,-4.527229998197424e-11,5.860382977939496e-11,-0.045,2.569004144953453e-11,-0.045,2.96917928829428e-12,-0.045,2.678168805501249e-11,-0.045,2.171278587591471e-11,-0.045,5.42193279389119e-12,-0.045,-3.060065331127474e-11,-0.045,-1.274941345518104e-11,-0.045,-3.281969444827454e-12,-0.045,-8.87354053577784e-11,-0.045,-7.143236069633656e-11,-0.045,-4.527229998197424e-11,-0.045
96,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,5.917514410728412e-11,2.605845850374359e-11,3.021244697417867e-12,2.697579713999278e-11,2.190579072621495e-11,5.498923784304069e-12,-3.041872893323871e-11,-1.260743410565879e-11,-3.231923156301748e-12,-8.814719163867833e-11,-7.089765037213917e-11,-4.486994256699073e-11,5.917514410728412e-11,-0.044,2.605845850374359e-11,-0.044,3.021244697417867e-12,-0.044,2.697579713999278e-11,-0.044,2.190579072621495e-11,-0.044,5.498923784304069e-12,-0.044,-3.041872893323871e-11,-0.044,-1.260743410565879e-11,-0.044,-3.231923156301748e-12,-0.044,-8.814719163867833e-11,-0.044,-7.089765037213917e-11,-0.044,-4.486994256699073e-11,-0.044
97,-0.043,-0.043,-0.043,-0.043,-0.043,-0.043,-0.043,-0.043,-0.043,-0.043,-0.043,-0.043,5.974919379240863e-11,2.643090870364061e-11,3.07415261617426e-12,2.717009892267972e-11,2.209936648304521e-11,5.576792594593806e-12,-3.023734273384056e-11,-1.246575194414385e-11,-3.182191048723828e-12,-8.756003724865955e-11,-7.036393578961209e-11,-4.446807538011407e-11,5.974919379240863e-11,-0.043,2.643090870364061e-11,-0.043,3.07415261617426e-12,-0.043,2.717009892267972e-11,-0.043,2.209936648304521e-11,-0.043,5.576792594593806e-12,-0.043,-3.023734273384056e-11,-0.043,-1.246575194414385e-11,-0.043,-3.182191048723828e-12,-0.043,-8.756003724865955e-11,-0.043,-7.036393578961209e-11,-0.043,-4.446807538011407e-11,-0.043
98,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,6.032594348592426e-11,2.680740676187519e-11,3.127914968696109e-12,2.73645791741965e-11,2.229349847641767e-11,5.655544624345723e-12,-3.005649576642448e-11,-1.232437582958026e-11,-3.132778695349097e-12,-8.697396697570243e-11,-6.983123696516107e-11,-4.406670944814703e-11,6.032594348592426e-11,-0.042,2.680740676187519e-11,-0.042,3.127914968696109e-12,-0.042,2.73645791741965e-11,-0.042,2.229349847641767e-11,-0.042,5.655544624345723e-12,-0.042,-3.005649576642448e-11,-0.042,-1.232437582958026e-11,-0.042,-3.132778695349097e-12,-0.042,-8.697396697570243e-11,-0.042,-6.983123696516107e-11,-0.042,-4.406670944814703e-11,-0.042
99,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,-0.041,6.090535711261183e-11,2.718796672430555e-11,3.182543806705697e-12,2.755922365942163e-11,2.248817191421134e-11,5.735185206976891e-12,-2.987618907804449e-11,-1.218331490872176e-11,-3.083691666304892e-12,-8.638900554220107e-11,-6.929957397303088e-11,-4.366585618356924e-11,6.090535711261183e-11,-0.041,2.718796672430555e-11,-0.041,3.182543806705697e-12,-0.041,2.755922365942163e-11,-0.041,2.248817191421134e-11,-0.041,5.735185206976891e-12,-0.041,-2.987618907804449e-11,-0.041,-1.218331490872176e-11,-0.041,-3.083691666304892e-12,-0.041,-8.638900554220107e-11,-0.041,-6.929957397303088e-11,-0.041,-4.366585618356924e-11,-0.041
100,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,6.148739787916342e-11,2.757260195389816e-11,3.238051309863832e-12,2.775401814130146e-11,2.268337188705484e-11,5.815719607288196e-12,-2.969642370955134e-11,-1.20425786166196e-11,-3.034935522572626e-12,-8.580517760053769e-11,-6.876896694336554e-11,-4.326552739355277e-11,6.148739787916342e-11,-0.04,2.757260195389816e-11,-0.04,3.238051309863832e-12,-0.04,2.775401814130146e-11,-0.04,2.268337188705484e-11,-0.04,5.815719607288196e-12,-0.04,-2.969642370955134e-11,-0.04,-1.20425786166196e-11,-0.04,-3.034935522572626e-12,-0.04,-8.580517760053769e-11,-0.04,-6.876896694336554e-11,-0.04,-4.326552739355277e-11,-0.04
101,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,-0.039,6.207202828290296e-11,2.796132511470231e-11,3.294449786089798e-12,2.794894838514672e-11,2.287908337326801e-11,5.897153019001064e-12,-2.951720069567729e-11,-1.190217667673208e-11,-2.986515809858114e-12,-8.522250772865107e-11,-6.823943606019915e-11,-4.286573528893149e-11,6.207202828290296e-11,-0.039,2.796132511470231e-11,-0.039,3.294449786089798e-12,-0.039,2.794894838514672e-11,-0.039,2.287908337326801e-11,-0.039,5.897153019001064e-12,-0.039,-2.951720069567729e-11,-0.039,-1.190217667673208e-11,-0.039,-2.986515809858114e-12,-0.039,-8.522250772865107e-11,-0.039,-6.823943606019915e-11,-0.039,-4.286573528893149e-11,-0.039
102,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,6.265921012093775e-11,2.835414815591534e-11,3.351751671852534e-12,2.814400016291016e-11,2.307529124385951e-11,5.979490562279803e-12,-2.933852106511876e-11,-1.176211910063813e-11,-2.93843805236005e-12,-8.464102042559999e-11,-6.77110015593761e-11,-4.246649249310788e-11,6.265921012093775e-11,-0.038,2.835414815591534e-11,-0.038,3.351751671852534e-12,-0.038,2.814400016291016e-11,-0.038,2.307529124385951e-11,-0.038,5.979490562279803e-12,-0.038,-2.933852106511876e-11,-0.038,-1.176211910063813e-11,-0.038,-2.93843805236005e-12,-0.038,-8.464102042559999e-11,-0.038,-6.77110015593761e-11,-0.038,-4.246649249310788e-11,-0.038
