"time","an.cell.l2.v","n.cell.l2.v","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0.007,-0.06003665666638534,-0.06711734925287001,-0.05898537463774334,-0.06003665666638534,-0.06711734925287001,-0.05898537463774334
0.0071,-0.05974517103436604,-0.06691736259059769,-0.058695259492021,-0.05974517103436604,-0.06691736259059769,-0.058695259492021
0.0072,-0.05945613188730018,-0.06671982426679771,-0.05840769704527133,-0.05945613188730018,-0.06671982426679771,-0.05840769704527133
0.0073,-0.0591694892819223,-0.06652470002546192,-0.05812262602333357,-0.0591694892819223,-0.06652470002546192,-0.05812262602333357
0.0074,-0.05888519228668931,-0.06633195612614945,-0.05783998408057112,-0.05888519228668931,-0.06633195612614945,-0.05783998408057112
0.0075,-0.05860318887689312,-0.06614155933532709,-0.05755970769412083,-0.05860318887689312,-0.06614155933532709,-0.05755970769412083
0.0076,-0.05832342582955351,-0.06595347691789503,-0.05728173206029191,-0.05832342582955351,-0.06595347691789503,-0.05728173206029191
0.0077,-0.0580458486183999,-0.06576767662889256,-0.05700599099351181,-0.0580458486183999,-0.06576767662889256,-0.05700599099351181
0.0078,-0.05777040130927034,-0.06558412670537778,-0.05673241682818347,-0.05777040130927034,-0.06558412670537778,-0.05673241682818347
0.007900000000000001,-0.05749702645628351,-0.06540279585847694,-0.05646094032374519,-0.05749702645628351,-0.06540279585847694,-0.05646094032374519
0.008,-0.05722566499914831,-0.06522365326559713,-0.05619149057310274,-0.05722566499914831,-0.06522365326559713,-0.05619149057310274
0.0081,-0.0569562561619621,-0.06504666856279832,-0.05592399491441871,-0.0569562561619621,-0.06504666856279832,-0.05592399491441871
0.008200000000000001,-0.05668873735380426,-0.06487181183732006,-0.05565837884599197,-0.05668873735380426,-0.06487181183732006,-0.05565837884599197
0.0083,-0.05642304407134634,-0.06469905362025763,-0.05539456594363031,-0.05642304407134634,-0.06469905362025763,-0.05539456594363031
0.008399999999999999,-0.056159109803564,-0.0645283648793842,-0.05513247777951194,-0.056159109803564,-0.0645283648793842,-0.05513247777951194
0.008500000000000001,-0.05589686593843833,-0.06435971701211429,-0.05487203384104969,-0.05589686593843833,-0.06435971701211429,-0.05487203384104969
0.0086,-0.05563624167126464,-0.06419308183860462,-0.05461315144772784,-0.05563624167126464,-0.06419308183860462,-0.05461315144772784
0.008699999999999999,-0.05537716391384057,-0.06402843159498882,-0.05435574566329533,-0.05537716391384057,-0.06402843159498882,-0.05435574566329533
0.008800000000000001,-0.05511955720337757,-0.0638657389267418,-0.0540997292001,-0.05511955720337757,-0.0638657389267418,-0.0540997292001
0.0089,-0.05486334360947416,-0.06370497688217068,-0.05384501231177164,-0.05486334360947416,-0.06370497688217068,-0.05384501231177164
0.008999999999999999,-0.05460844263691705,-0.06354611890602867,-0.053591502669944,-0.05460844263691705,-0.06354611890602867,-0.053591502669944
0.0091,-0.05435477112145418,-0.06338913883324862,-0.05333910522028711,-0.05435477112145418,-0.06338913883324862,-0.05333910522028711
0.0092,-0.05410224311503965,-0.06323401088279318,-0.05308772201282729,-0.05410224311503965,-0.06323401088279318,-0.05308772201282729
0.009299999999999999,-0.05385076975641657,-0.06308070965161817,-0.05283725200138097,-0.05385076975641657,-0.06308070965161817,-0.05283725200138097
0.0094,-0.05360025912231833,-0.06292921010874694,-0.0525875908069167,-0.05360025912231833,-0.06292921010874694,-0.0525875908069167
0.0095,-0.05335061605406493,-0.06277948758945219,-0.05233863043976508,-0.05335061605406493,-0.06277948758945219,-0.05233863043976508
0.009599999999999999,-0.05310174195393881,-0.06263151778954285,-0.05209025897577272,-0.05310174195393881,-0.06263151778954285,-0.05209025897577272
0.0097,-0.05285353454546266,-0.06248527675975337,-0.05184236018168699,-0.05285353454546266,-0.06248527675975337,-0.05184236018168699
0.0098,-0.05260588759156331,-0.06234074090023296,-0.05159481308518701,-0.05260588759156331,-0.06234074090023296,-0.05159481308518701
0.009900000000000001,-0.05235869056457521,-0.06219788695513234,-0.05134749148496947,-0.05235869056457521,-0.06219788695513234,-0.05134749148496947
0.01,-0.05211182826206638,-0.06205669200728534,-0.05110026339608442,-0.05211182826206638,-0.06205669200728534,-0.05110026339608442
0.0101,-0.05186518036249866,-0.06191713347298365,-0.05085299042523046,-0.05186518036249866,-0.06191713347298365,-0.05085299042523046
0.0102,-0.05161862091468438,-0.06177918909684207,-0.05060552706991142,-0.05161862091468438,-0.06177918909684207,-0.05060552706991142
0.0103,-0.05137201775479368,-0.06164283694675236,-0.05035771993419115,-0.05137201775479368,-0.06164283694675236,-0.05035771993419115
0.0104,-0.05112523184421196,-0.06150805540892363,-0.05010940685222415,-0.05112523184421196,-0.06150805540892363,-0.05010940685222415
0.0105,-0.05087811652077095,-0.06137482318300724,-0.04986041590876587,-0.05087811652077095,-0.06137482318300724,-0.04986041590876587
0.0106,-0.05063051665470982,-0.06124311927730448,-0.04961056434344328,-0.05063051665470982,-0.06124311927730448,-0.04961056434344328
0.0107,-0.05038226769910289,-0.06111292300405491,-0.04935965732265133,-0.05038226769910289,-0.06111292300405491,-0.04935965732265133
