"time","l2.v","act_steady","act_steady2","act_tau","act_tau2","inact_steady","inact_steady2","inact_tau","inact_tau2","v","vc.v"
20,-0.06000000000000019,0.2290278810522278,0.3543436937741957,0.004012124327311416,0.004012124327311416,0.9915298385422137,0.9915298385422137,2.160704090350546,2.160704090350546,-0.06000000000000019,-0.06000000000000019
21,-0.05900000000000019,0.2492811405609706,0.4013123398875386,0.00404036828850938,0.00404036828850938,0.990458235551673,0.990458235551673,2.202674281856038,2.202674281856038,-0.05900000000000019,-0.05900000000000019
22,-0.05800000000000018,0.2706965765940801,0.4501660026875131,0.00406347647307609,0.004063476473076091,0.989248922883937,0.989248922883937,2.245931072893554,2.245931072893554,-0.05800000000000018,-0.05800000000000018
23,-0.05700000000000018,0.2932331649258548,0.4999999999999907,0.004080912101253201,0.004080912101253202,0.9878839595548011,0.9878839595548011,2.290516310832034,2.290516310832035,-0.05700000000000018,-0.05700000000000018
24,-0.05600000000000017,0.3168309119568707,0.549833997312469,0.00409213528192135,0.004092135281921349,0.9863430666348104,0.9863430666348104,2.33646894139318,2.33646894139318,-0.05600000000000017,-0.05600000000000017
25,-0.05500000000000017,0.3414103361087383,0.5986876601124436,0.004096613189781701,0.004096613189781701,0.9846033353977,0.9846033353976998,2.383823757377843,2.383823757377843,-0.05500000000000017,-0.05500000000000017
26,-0.05400000000000017,0.3668726003026246,0.6456563062257876,0.004093831970511516,0.004093831970511518,0.9826389052143697,0.9826389052143697,2.43260987830442,2.432609878304421,-0.05400000000000017,-0.05400000000000017
27,-0.05300000000000017,0.3931003720379634,0.6899744811276054,0.00408331022564369,0.00408331022564369,0.9804206104403742,0.9804206104403742,2.482848915352367,2.482848915352367,-0.05300000000000017,-0.05300000000000017
28,-0.05200000000000016,0.4199594474477829,0.7310585786299982,0.004064613795475879,0.00406461379547588,0.977915596532133,0.9779155965321329,2.534552770809881,2.53455277080988,-0.05200000000000016,-0.05200000000000016
29,-0.05100000000000016,0.44730112650539,0.7685247834990118,0.004037371410382691,0.004037371410382693,0.9750869070602893,0.9750869070602894,2.58772101643224,2.587721016432239,-0.05100000000000016,-0.05100000000000016
30,-0.05000000000000016,0.4749652725095149,0.8021838885585767,0.004001290629208004,0.004001290629208004,0.9718930453005209,0.9718930453005208,2.642337791282603,2.642337791282602,-0.05000000000000016,-0.05000000000000016
31,-0.04900000000000015,0.5027839355962782,0.83201838513392,0.00395617334266366,0.00395617334266366,0.9682875168313364,0.9682875168313364,2.698368157551709,2.698368157551709,-0.04900000000000015,-0.04900000000000015
32,-0.04800000000000015,0.5305853734087331,0.8581489350995086,0.003901930007659084,0.003901930007659085,0.9642183632389038,0.9642183632389038,2.755753853655274,2.755753853655275,-0.04800000000000015,-0.04800000000000015
33,-0.04700000000000015,0.5581982679306742,0.8807970779778792,0.003838591714336002,0.003838591714336003,0.9596277018246135,0.9596277018246135,2.814408389103893,2.814408389103892,-0.04700000000000015,-0.04700000000000015
34,-0.04600000000000014,0.5854559202629562,0.9002495108803121,0.003766319189034729,0.003766319189034729,0.9544512923438105,0.9544512923438107,2.87421143722685,2.874211437226851,-0.04600000000000014,-0.04600000000000014
35,-0.04500000000000014,0.6122002070698103,0.9168273035060757,0.003685407916653953,0.003685407916653952,0.9486181594710404,0.9486181594710404,2.935002502356272,2.935002502356272,-0.04500000000000014,-0.04500000000000014
36,-0.04400000000000014,0.638285103289483,0.9308615796566515,0.003596288730239915,0.003596288730239916,0.942050309032758,0.9420503090327579,2.996573870677033,2.996573870677033,-0.04400000000000014,-0.04400000000000014
37,-0.04300000000000014,0.6635796127341732,0.9426758241011297,0.003499523459113611,0.003499523459113612,0.9346625871056927,0.9346625871056927,3.058662902305633,3.058662902305633,-0.04300000000000014,-0.04300000000000014
38,-0.04200000000000013,0.6879699966585763,0.9525741268224321,0.003395795532845194,0.003395795532845196,0.9263627436838409,0.9263627436838409,3.120943790345559,3.12094379034556,-0.04200000000000013,-0.04200000000000013
