"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
0.85,-0.08,-2.498932413581248e-13,0,-0.08,0,-0.08
0.86,-0.08,-2.519198893576412e-13,0,-0.08,0,-0.08
0.87,-0.08,-2.539333054071732e-13,0,-0.08,0,-0.08
0.88,-0.08,-2.559335577122907e-13,0,-0.08,0,-0.08
0.89,-0.08,-2.579207541274905e-13,0,-0.08,0,-0.08
0.9,-0.08,-2.598949826803948e-13,0,-0.08,0,-0.08
0.91,-0.08,-2.618563313986239e-13,0,-0.08,0,-0.08
0.92,-0.08,-2.638048883097958e-13,0,-0.08,0,-0.08
0.93,-0.08,-2.657407176764988e-13,0,-0.08,0,-0.08
0.9399999999999999,-0.08,-2.676638937321677e-13,0,-0.08,0,-0.08
0.95,-0.08,-2.695745170650764e-13,0,-0.08,0,-0.08
0.96,-0.08,-2.714726723313782e-13,0,-0.08,0,-0.08
0.97,-0.08,-2.733584441872271e-13,0,-0.08,0,-0.08
0.98,-0.08,-2.752319172887784e-13,0,-0.08,0,-0.08
0.99,-0.08,-2.770931479531601e-13,0,-0.08,0,-0.08
1,-0.08,-2.789422168830794e-13,0,-0.08,0,-0.08
1.01,-0.08,-2.80779217024918e-13,0,-0.08,0,-0.08
1.02,-0.08,-2.826042298499587e-13,0,-0.08,0,-0.08
1.03,-0.08,-2.844173368294851e-13,0,-0.08,0,-0.08
1.04,-0.08,-2.862186194347812e-13,0,-0.08,0,-0.08
1.05,-0.08,-2.880081351486845e-13,0,-0.08,0,-0.08
1.06,-0.08,-2.897859657029817e-13,0,-0.08,0,-0.08
1.07,-0.08,-2.915521927349913e-13,0,-0.08,0,-0.08
1.08,-0.08,-2.933068923835567e-13,0,-0.08,0,-0.08
1.09,-0.08,-2.95050140306996e-13,0,-0.08,0,-0.08
1.1,-0.08,-2.967820116831018e-13,0,-0.08,0,-0.08
1.11,-0.08,-2.985025812091412e-13,0,-0.08,0,-0.08
1.12,-0.08,-3.002119231018553e-13,0,-0.08,0,-0.08
1.13,-0.08,-3.019101110974591e-13,0,-0.08,0,-0.08
1.14,-0.08,-3.035972184516418e-13,0,-0.08,0,-0.08
1.15,-0.08,-3.05273317939566e-13,0,-0.08,0,-0.08
1.16,-0.08,-3.069384816677617e-13,0,-0.08,0,-0.08
1.17,-0.08,-3.085927718880746e-13,0,-0.08,0,-0.08
1.18,-0.08,-3.102362660691808e-13,0,-0.08,0,-0.08
1.19,-0.08,-3.118690344650451e-13,0,-0.08,0,-0.08
1.2,-0.08,-3.13491146808489e-13,0,-0.08,0,-0.08
1.21,-0.08,-3.151026723111899e-13,0,-0.08,0,-0.08
1.22,-0.08,-3.167036796636816e-13,0,-0.08,0,-0.08
1.23,-0.08,-3.182942370353547e-13,0,-0.08,0,-0.08
1.24,-0.08,-3.198744120744557e-13,0,-0.08,0,-0.08
1.25,-0.08,-3.214442719080885e-13,0,-0.08,0,-0.08
1.26,-0.08,-3.23003883142213e-13,0,-0.08,0,-0.08
1.27,-0.08,-3.245533118616458e-13,0,-0.08,0,-0.08
1.28,-0.08,-3.260926264395237e-13,0,-0.08,0,-0.08
1.29,-0.08,-3.2762189909652e-13,0,-0.08,0,-0.08
1.3,-0.08,-3.291411882775603e-13,0,-0.08,0,-0.08
1.31,-0.08,-3.30650558519163e-13,0,-0.08,0,-0.08
1.32,-0.08,-3.321500738666087e-13,0,-0.08,0,-0.08
